 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.25164795	0.18677664	0.005489827	0.0304293	0.48485228	0.023400612	0.004090875	0.013312582
a31	0.040418644	0.09260659	0.18985589	0.45285064	0.22001334	0.0034001113	0.00048181636	0.0003729898
a13	0.14523265	0.01719689	0.028009279	0.56754315	0.23205023	0.006612343	0.0030940056	0.0002614211
a20	0.009140928	0.06807758	0.67791706	0.16313387	0.061240524	0.008004041	0.011565801	0.0009201646
a15	0.0061724856	0.1745417	0.73402846	0.04582684	0.0127033675	0.0052767727	0.019079	0.002371382
a20	0.0050075348	0.17962669	0.49514097	0.117670685	0.031951286	0.023608003	0.13530155	0.011693252
a31	0.0017868184	0.12410142	0.3437364	0.23257793	0.08539597	0.05972024	0.14221379	0.010467359
a39	0.0043200795	0.14018278	0.46969885	0.19794823	0.10013865	0.021939695	0.05417821	0.011593548
a31	0.0033896698	0.0889247	0.12712584	0.15600283	0.18006952	0.24051791	0.14665903	0.05731049
a20	0.015190697	0.06959682	0.1765729	0.2089278	0.19311057	0.13744457	0.1339052	0.06525147
a31	0.008381773	0.119368345	0.11233613	0.115163185	0.124183826	0.22241049	0.1846769	0.11347944
a7	0.035656918	0.09922956	0.11180622	0.17668977	0.13599908	0.21984449	0.110674076	0.11009992
a46	0.025989754	0.2524257	0.16140799	0.13613087	0.10366804	0.1160053	0.10544005	0.098932244
a39	0.14758454	0.33600834	0.1364952	0.103837505	0.07245446	0.076866396	0.0663653	0.060388274
a31	0.095550984	0.27498603	0.10867815	0.0903648	0.07405695	0.12315294	0.11538187	0.11782825
a46	0.043206017	0.28860366	0.14336544	0.109313674	0.07598384	0.13061841	0.107931376	0.10097759
a0	0.17063987	0.30196708	0.115880124	0.08824022	0.06411591	0.08644343	0.080715805	0.0919975
a27	0.17363052	0.29236248	0.11654201	0.08722053	0.06132811	0.08965752	0.082252085	0.09700671
a20	0.16536067	0.2939204	0.12363086	0.09175907	0.06218353	0.08898023	0.07986076	0.094304524
a0	0.122957975	0.2709192	0.11400377	0.08663642	0.06216641	0.11677832	0.10482667	0.12171128
a14	0.1807187	0.28482714	0.1272563	0.093440175	0.06100737	0.087200865	0.0759698	0.08957972
a0	0.14170744	0.26987585	0.1262641	0.09407756	0.06246879	0.1062409	0.091638155	0.10772723
a46	0.18004045	0.27754572	0.1363524	0.100234374	0.06294883	0.08571161	0.072288424	0.08487818
a20	0.16039088	0.272508	0.14736104	0.10979868	0.06750026	0.08612084	0.071501486	0.08481882
</S>	0.12862737	0.2513809	0.12847829	0.096734986	0.06395804	0.116380595	0.09839223	0.116047665
