 	ho	rotto	una	bottiglia	</S>
a31	1.9232633e-05	0.0024347247	0.00020374233	0.95962095	0.037721355
a21	0.0014801553	0.05737201	0.20177777	0.67803395	0.061336134
a31	0.070987314	0.20633285	0.41199917	0.25871313	0.051967535
a35	0.005478462	0.1525056	0.8250982	0.011167352	0.0057504014
a31	0.026985241	0.42174876	0.5481548	0.001540193	0.0015710575
a24	0.08780656	0.13386616	0.7681684	0.007435501	0.0027233944
a37	0.13098902	0.5326179	0.31680438	0.017804084	0.0017846165
a31	0.048375603	0.28239706	0.5368561	0.12948848	0.0028827265
a33	0.02025002	0.07273365	0.42689317	0.4292626	0.050860602
a31	0.013475114	0.02956525	0.29122725	0.56218994	0.103542425
</S>	0.029915879	0.038285546	0.13889062	0.6179351	0.17497279
