 	non	aveva	cosa	a	fare	</S>
a31	0.65946436	0.004046734	0.0008028558	0.009711847	0.055138182	0.270836
a18	0.05486182	0.69946754	0.14186159	0.008893134	0.00367498	0.09124094
a24	0.0012555496	0.0069134836	0.05454637	0.20571288	0.68110925	0.050462518
a20	0.0024536576	0.05313124	0.28410602	0.2052284	0.43806994	0.017010747
a31	0.0010113496	0.052344184	0.32626504	0.4767399	0.1388716	0.0047678626
a18	0.018705526	0.05113897	0.2562661	0.40796998	0.24878843	0.017130945
a31	0.013977075	0.108647235	0.25837663	0.35041067	0.24997623	0.018612077
a17	0.070310414	0.13156651	0.19421178	0.16923307	0.16628711	0.26839107
a20	0.06762348	0.32844552	0.18121092	0.09004189	0.039748713	0.2929295
a31	0.29826224	0.33608803	0.17641446	0.062043756	0.046771757	0.080419786
</S>	0.101831034	0.42881054	0.31023455	0.03820602	0.015358447	0.10555944
