 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
a31	0.0060098446	0.016677463	0.033983693	0.1945199	0.6466996	0.05008149	0.0020450568	0.00026801322	7.390972e-05	0.004151816	0.04548917
a14	0.19558446	0.10173813	0.066560194	0.047226384	0.02716122	0.024346463	0.011166477	0.1998693	0.12571396	0.15597963	0.044653725
a11	0.004826772	0.0047502043	0.002472052	0.15014301	0.6170422	0.1703246	0.019809779	0.007989857	0.0015048088	0.014284828	0.0068518505
a31	0.0075645577	0.0282715	0.03608962	0.14256486	0.16972107	0.15805809	0.112578966	0.13696736	0.10591005	0.075109996	0.027163945
a46	0.02248796	0.053294398	0.12561463	0.36207128	0.120368175	0.075551026	0.15113758	0.06258095	0.021289174	0.002869693	0.0027350741
a33	0.028515488	0.03341138	0.029743263	0.042078786	0.052701313	0.043233458	0.040366903	0.16180088	0.31118473	0.11848855	0.13847524
a23	0.01762157	0.011152762	0.0076723555	0.008740498	0.0113388	0.01165538	0.008153701	0.10421659	0.37578183	0.14635493	0.29731157
a31	0.006555277	0.0067664864	0.0042393813	0.007628835	0.010552832	0.013586749	0.008161325	0.18596716	0.4609949	0.14564511	0.14990196
a21	0.18971471	0.039039	0.019844264	0.012064252	0.035742164	0.18009341	0.031673323	0.2631006	0.15352288	0.06954578	0.0056596347
a24	0.046929646	0.00698944	0.0036791845	0.0015102711	0.004611401	0.03192015	0.004561629	0.37836283	0.3679381	0.11784932	0.03564803
a46	0.05502607	0.020957528	0.013163102	0.003745878	0.013084054	0.05803459	0.010006304	0.34875193	0.30863664	0.12796384	0.040630132
a20	0.049458787	0.020828318	0.012337569	0.0038111322	0.013589821	0.058515046	0.009595084	0.36932456	0.30833396	0.11798245	0.03622321
a31	0.04730068	0.02793443	0.015371991	0.006572986	0.02585445	0.11160151	0.021853922	0.4011305	0.25095165	0.079294	0.012133926
a7	0.05285902	0.036940347	0.02489973	0.016194377	0.055823863	0.20619357	0.071609706	0.29693857	0.1675105	0.067083895	0.003946463
a10	0.06280372	0.035925776	0.026011603	0.012394558	0.0282537	0.07794092	0.033568293	0.27741238	0.25706023	0.1432088	0.04541998
a31	0.052688163	0.03584027	0.02568502	0.013869725	0.03213602	0.08977855	0.038976736	0.29542378	0.25434357	0.12492364	0.036334608
a0	0.042773746	0.03545358	0.026847402	0.03205745	0.058257062	0.1477847	0.1161463	0.2461323	0.16369823	0.11224097	0.01860822
a31	0.10733321	0.055824958	0.03388106	0.025364082	0.03051828	0.04281571	0.03772021	0.17769277	0.2124288	0.17662029	0.099800654
a37	0.08482253	0.053300638	0.028305218	0.04825848	0.052991766	0.078966536	0.1596212	0.16072252	0.14322385	0.13050534	0.059281893
a20	0.14609557	0.07932314	0.03752682	0.03330785	0.029490044	0.032428473	0.041107275	0.12717503	0.17989165	0.17257628	0.12107777
a37	0.1311641	0.068048336	0.03615385	0.03247369	0.030334232	0.034792237	0.04060501	0.13654839	0.18591756	0.17658207	0.12738055
a13	0.11117843	0.059655674	0.03471769	0.031931624	0.031592432	0.039795373	0.04307636	0.15768433	0.19575606	0.17580257	0.118809536
a39	0.09526071	0.054335408	0.034157127	0.03150371	0.033095617	0.04437993	0.045194518	0.17484905	0.20493926	0.17429832	0.10798634
a17	0.090502955	0.053078562	0.03364708	0.031995494	0.034055132	0.04888735	0.049857177	0.18643747	0.20766139	0.1678748	0.09600256
a28	0.086430795	0.05227445	0.033856664	0.03184588	0.035044435	0.05085939	0.049927272	0.19466671	0.21296564	0.164704	0.08742476
a31	0.093387745	0.054291278	0.033640787	0.032783806	0.03429801	0.050137438	0.052526347	0.18761392	0.20618685	0.16386683	0.09126706
a0	0.079946965	0.042556155	0.027068248	0.030181149	0.038191576	0.09197276	0.1007005	0.16996717	0.17039305	0.14890236	0.10012001
a13	0.16372411	0.08512481	0.038283598	0.035388242	0.02917355	0.031773165	0.041016486	0.11790739	0.17504631	0.1660273	0.11653505
a31	0.13594182	0.07121357	0.034805566	0.03300124	0.029469432	0.03636838	0.044035718	0.14712755	0.1876378	0.16756599	0.11283286
a37	0.12238588	0.058077127	0.027920509	0.029120361	0.03063802	0.06894489	0.08821533	0.15058228	0.16233113	0.14804654	0.11373791
a8	0.1619236	0.08733624	0.035965234	0.033099312	0.025445642	0.02954241	0.042191982	0.1240477	0.17464824	0.16394109	0.12185856
</S>	0.2084491	0.10976746	0.04318451	0.028109541	0.02890508	0.033547305	0.032314107	0.101942085	0.17723167	0.15724452	0.07930464
