 	la	pasta	vuole	sale	</S>
a31	0.5214433	0.007610246	0.0015026778	0.028022535	0.44142115
a15	0.16272187	0.5956713	0.0926554	0.10273972	0.046211716
a31	0.061790984	0.0912552	0.0908105	0.6438458	0.11229749
a13	0.0781598	0.2522831	0.5114638	0.13938867	0.018704563
a31	0.108337946	0.50897425	0.31592503	0.057754837	0.009007916
a6	0.07399011	0.22784103	0.594587	0.097683795	0.005898029
a31	0.12893477	0.32990965	0.41355956	0.12602754	0.0015683916
a46	0.108430214	0.20234647	0.35164103	0.2699089	0.06767333
a31	0.06040461	0.18629758	0.34367934	0.17068943	0.23892902
a46	0.059272	0.18630789	0.3539713	0.1851421	0.2153067
a20	0.02609247	0.14852905	0.3638315	0.19932899	0.262218
</S>	0.1155973	0.33764172	0.32698405	0.15496713	0.06480984
