 	lo	sentii	che	arrivò	</S>
a11	0.001152283	0.0011344921	0.00015674342	0.95301914	0.04453735
a31	0.07451948	0.22036855	0.2837785	0.34581038	0.07552311
a28	0.3880551	0.57017994	0.011163996	0.023456672	0.007144307
a37	0.2213148	0.094249874	0.40164044	0.27381507	0.008979712
a20	0.27247244	0.021902869	0.6796896	0.018240768	0.007694337
a31	0.15886842	0.07075162	0.7556151	0.009248257	0.0055165747
a1	0.5834427	0.0661475	0.34649757	0.0010859864	0.0028262644
a0	0.17702474	0.10944102	0.66421795	0.0053147874	0.044001527
a17	0.14177947	0.34614262	0.45011207	0.0136497775	0.048316117
a31	0.11718833	0.3899366	0.42582288	0.018075334	0.048976846
a0	0.17709225	0.17634532	0.34471858	0.21983144	0.082012415
a46	0.09793735	0.362963	0.27559626	0.13074832	0.13275513
a31	0.16615836	0.34557137	0.24027508	0.12907296	0.11892233
a18	0.09124472	0.21946327	0.12524308	0.29038692	0.273662
a31	0.112183504	0.38060212	0.13944244	0.21047328	0.15729873
a39	0.14027752	0.3237811	0.07708671	0.25664148	0.2022132
a31	0.09212668	0.44798726	0.10283749	0.26915544	0.087893136
a46	0.111669354	0.31000605	0.08592333	0.36226377	0.13013752
</S>	0.06490561	0.34870878	0.1557269	0.35994476	0.07071394
