 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	9.678333e-06	1.2065517e-05	3.2562206e-05	0.0008334688	0.0016961497	0.00085769984	0.0007606151	0.00076087774	0.0019280403	0.97773165	0.014482868	0.00020046333	0.00069386617
a24	0.008769221	0.03291754	0.15884846	0.2334015	0.057464864	0.14470325	0.15941088	0.109966494	0.015661089	0.00071253255	0.05119558	0.025579108	0.0013694911
a28	0.00014521115	0.00028978693	0.00058800646	0.028023276	0.020052979	0.07210984	0.052375544	0.05313645	0.76684105	0.0044472404	0.0008125129	0.00043276738	0.00074527453
a39	0.00046915794	0.0012734465	0.0072815246	0.050951682	0.2810865	0.10799143	0.046575032	0.109405786	0.3847585	0.0052554454	0.00169695	0.0019731484	0.001281376
a17	0.0001416784	0.00043271104	0.0037961549	0.03977109	0.2700313	0.12923443	0.14313243	0.25083852	0.15918013	0.001201354	0.00086737	0.0010916984	0.00028113445
a31	0.0002886473	0.0005764818	0.0067038727	0.061376296	0.27129915	0.12799485	0.20472017	0.23684084	0.08439201	0.00048538798	0.002329327	0.0026536428	0.00033932662
a20	0.0009201751	0.003846717	0.018850282	0.26134822	0.23946506	0.21576174	0.1235339	0.08063042	0.052044515	0.00064998714	0.0019611502	0.00094545336	4.234828e-05
a31	0.0005229087	0.0012961394	0.013854803	0.087551855	0.14379463	0.13524264	0.26631275	0.27858174	0.04924872	0.00043660292	0.008771646	0.0131406775	0.001244879
a17	0.0013819119	0.0065026963	0.020283917	0.24643703	0.20555857	0.16899243	0.17338647	0.10943902	0.059692618	0.0010630231	0.0047902768	0.0023079985	0.0001641024
a8	0.0011687469	0.00325547	0.028118197	0.11388141	0.08959923	0.14814599	0.26711404	0.24618027	0.056344	0.0004901291	0.01709216	0.024164435	0.0044459165
a31	0.00042716478	0.0008521882	0.009190257	0.050724994	0.2117084	0.13698256	0.13695566	0.25845668	0.17057449	0.0010936179	0.004869685	0.012499905	0.0056643835
a8	0.011649584	0.032777116	0.025196074	0.14315392	0.10732985	0.12346902	0.27928331	0.18526411	0.06425286	0.0045211995	0.015664006	0.0069819926	0.00045692336
a24	0.0006968828	0.0014376059	0.020554544	0.09164047	0.14322048	0.23621309	0.16053706	0.17312996	0.16483319	0.00045879988	0.0015249652	0.0034712795	0.0022816567
a31	0.030750614	0.03023613	0.035267994	0.048235342	0.037001662	0.06957783	0.16783239	0.1697816	0.13576661	0.0075573963	0.11825861	0.11523307	0.034500726
a20	0.019012742	0.050493065	0.034168053	0.2021771	0.10670499	0.17076501	0.1965152	0.11125464	0.086126186	0.0072035375	0.011048358	0.004270345	0.00026069896
a31	0.018756311	0.030674148	0.056850046	0.103611685	0.043488786	0.11436198	0.2377261	0.19000632	0.074573055	0.0020528852	0.06354868	0.055279907	0.009070098
a41	0.026213912	0.054409858	0.029021524	0.10197725	0.07216306	0.09362315	0.26692736	0.19097044	0.07387352	0.016760143	0.04941881	0.022862175	0.0017787928
a31	0.04818569	0.06758086	0.07196661	0.1102176	0.03951079	0.09750854	0.1740049	0.14188546	0.05190981	0.006651632	0.09090009	0.0764615	0.023216523
a13	0.033626318	0.056014612	0.027993888	0.075968236	0.05346583	0.070777506	0.23701087	0.19038583	0.058013696	0.024873596	0.10533876	0.060273062	0.006257764
a37	0.08085284	0.09546747	0.061179176	0.094114214	0.037784897	0.072055064	0.12821364	0.110893436	0.034711685	0.019216765	0.11810287	0.10135456	0.04605336
a8	0.047033545	0.048999965	0.05304499	0.06446134	0.030065263	0.06745037	0.12828623	0.12826517	0.071086094	0.008431943	0.15540762	0.15650646	0.040960997
a39	0.001851888	0.003794707	0.03653076	0.12142282	0.1279529	0.16023378	0.16993476	0.18495002	0.09807009	0.00022090224	0.021626301	0.049270708	0.024140336
a20	0.04023974	0.039327685	0.039290648	0.056986842	0.035759263	0.07169433	0.1697501	0.16835296	0.119565845	0.01302872	0.117196	0.10636537	0.022442503
a24	0.021823108	0.02787345	0.036896683	0.072698966	0.053191047	0.086782865	0.20021209	0.2089865	0.12893692	0.0047567394	0.07441985	0.06975647	0.013665308
a18	0.04459701	0.044861656	0.051073022	0.056390423	0.022947425	0.062235553	0.11723153	0.11106162	0.12005762	0.0112994	0.15524347	0.15296263	0.050038677
a23	0.028266555	0.033051554	0.041337185	0.06308665	0.035195343	0.07647883	0.17101628	0.16683656	0.14186078	0.0063843774	0.107909024	0.10262204	0.025954787
a24	0.0078207245	0.013136103	0.03705019	0.082508564	0.061189104	0.098525755	0.1920256	0.21355914	0.13207005	0.0006512496	0.06312881	0.07505043	0.023284243
a31	0.056472536	0.044142384	0.037666637	0.042380687	0.029664805	0.047942888	0.100385375	0.11795934	0.09612369	0.03492263	0.15734987	0.16318476	0.071804345
