 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.0068937107	0.0032649909	0.0014421657	0.011528487	0.84307635	0.03290738	0.034408517	0.06647842
a0	0.0027793783	0.0059742033	0.015241732	0.09161563	0.30251086	0.28537327	0.28857532	0.007929644
a31	0.001456573	0.010508972	0.0087910695	0.33358848	0.4394248	0.17181408	0.03149991	0.0029161049
a17	0.025965434	0.014922984	0.040477946	0.3821379	0.40925398	0.09453833	0.030903216	0.0018001798
a20	0.0035728032	0.016602367	0.090110995	0.2362132	0.18735161	0.3065596	0.1587213	0.0008681613
a31	0.006722177	0.01744638	0.17534293	0.23673362	0.11853043	0.29739383	0.14514387	0.0026867548
a37	0.0020873304	0.0049070492	0.22336797	0.29345712	0.19013828	0.22302717	0.06269162	0.00032347202
a15	0.0018047979	0.0053170705	0.08904957	0.11718414	0.06759162	0.4880345	0.21913224	0.011886157
a46	0.012471376	0.02794022	0.11125797	0.12685646	0.101113714	0.3005289	0.2602732	0.05955812
a24	0.029356074	0.05115656	0.060073897	0.078514345	0.08523382	0.297244	0.30127087	0.09715034
a31	0.07668632	0.07806098	0.052702066	0.054922756	0.05912357	0.17814739	0.27166873	0.22868818
a18	0.032580018	0.10056947	0.04235302	0.057168044	0.13264109	0.36777243	0.20989123	0.05702473
a11	0.057211947	0.070984595	0.05651532	0.0645248	0.07022454	0.22380698	0.28956312	0.16716872
a35	0.11021117	0.10726868	0.055547714	0.054617625	0.057397738	0.14564338	0.24730018	0.22201358
a31	0.075492404	0.08634586	0.05483015	0.05930996	0.06510285	0.20752643	0.27787644	0.17351592
a13	0.096453294	0.1631492	0.05582555	0.06368077	0.083629385	0.20701472	0.26284117	0.06740593
a11	0.10754337	0.107546456	0.055220123	0.055751175	0.05864131	0.14389852	0.24860162	0.22279745
a31	0.15336338	0.13846773	0.05420902	0.049805567	0.051569387	0.109907836	0.20840895	0.23426819
a46	0.119801424	0.22689523	0.04538753	0.044985645	0.070631966	0.15581065	0.18283744	0.15365009
a31	0.19820161	0.17874528	0.05627281	0.048441775	0.04978558	0.08534583	0.16113308	0.22207394
a24	0.12938458	0.2787044	0.05570389	0.042854823	0.07660491	0.13273127	0.111570515	0.17244557
a35	0.28118613	0.26524398	0.0795455	0.0520994	0.05394908	0.0723116	0.06807873	0.12758555
a31	0.19945177	0.18129177	0.054198388	0.04637797	0.048066318	0.08696749	0.16388503	0.21976133
a46	0.13637336	0.2336209	0.05600713	0.039438196	0.057357393	0.12245711	0.13376932	0.22097656
a31	0.25984746	0.2399889	0.06892223	0.044109046	0.045517206	0.07118075	0.093855254	0.17657912
</S>	0.113591485	0.18493965	0.077029355	0.053861994	0.07465086	0.12568755	0.12538849	0.2448506
