 	non	aveva	da	stare	</S>
a37	0.004571641	0.00035143734	0.00020113206	0.9922862	0.0025896267
a38	0.07794541	0.10823526	0.2757166	0.5314718	0.0066309148
a24	0.0013523485	0.005481626	0.09780534	0.86171824	0.033642434
a8	0.024571134	0.07140594	0.31035197	0.5435503	0.050120614
a17	0.010952354	0.042033065	0.2248359	0.63971406	0.08246456
a31	0.08017721	0.13275231	0.18119359	0.50469935	0.10117753
a20	0.17876121	0.21435763	0.13639857	0.20814648	0.26233608
a8	0.13701297	0.105078936	0.08970187	0.2768736	0.39133263
a31	0.07161867	0.124256834	0.15705797	0.30493587	0.3421307
a20	0.20068963	0.1787212	0.09477141	0.11547982	0.4103379
a31	0.22857104	0.1846705	0.120525464	0.10424961	0.36198336
a8	0.25479245	0.32656023	0.1270557	0.006444395	0.28514725
a31	0.2163161	0.28474918	0.1938505	0.060272407	0.24481174
</S>	0.26335403	0.40090725	0.15455762	0.009377125	0.17180398
