 	stava	ancora	cucinando	</S>
a8	0.9746206	0.0042200345	0.0014070807	0.019752307
a46	0.98332983	0.0048026927	0.0028026234	0.0090648215
a24	0.20156488	0.11782813	0.01596563	0.6646414
a37	0.0043675867	0.18451792	0.4979685	0.31314602
a20	0.0025120089	0.31920063	0.5184578	0.15982962
a31	0.0021541496	0.29927292	0.5185274	0.18004553
a37	0.0015466223	0.34187007	0.4561675	0.20041579
a31	0.0021611978	0.1908191	0.27130488	0.53571486
a20	0.0050629056	0.38865873	0.26850018	0.3377782
a31	0.0018060412	0.54950583	0.21614927	0.23253876
a6	0.009541046	0.71108425	0.1622975	0.11707724
a31	0.0031443285	0.50418216	0.22980742	0.2628661
a20	0.022136444	0.60829735	0.12431551	0.24525079
a46	0.012840648	0.80417204	0.07813768	0.10484975
a31	0.021451442	0.78100187	0.09099451	0.10655231
</S>	0.023013761	0.82526547	0.05885048	0.09287026
