 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
a23	0.1328921445	0.0366107045	0.1590408599	0.0549290685	0.091038078	0.131171239	0.239579165	0.154738815
a31	0.128816662	0.0413573598333	0.181982974967	0.0619828295	0.0794614626667	0.245313962333	0.191396101667	0.069688708406
a29	0.0617333818333	0.0486026599444	0.278287059989	0.0870759165	0.0747264722222	0.280297543411	0.143204653889	0.026072335208
a46	0.0498789946111	0.0814604933148	0.45631673333	0.157167318833	0.0601325440741	0.0958141667703	0.081613707963	0.0176160514027
a11	0.0433001122037	0.104389364438	0.49401661111	0.170132382944	0.0494484700247	0.0344319466901	0.0837371726543	0.0205439234676
a20	0.0509652360679	0.122776418146	0.47789695037	0.142534379648	0.0473405276749	0.0135311324634	0.115419030885	0.0295362968225
a8	0.0698756380226	0.147955279382	0.407560923457	0.111777501883	0.0468875878916	0.0070382632878	0.166974813628	0.0419299856075
a31	0.0818257306742	0.145326046461	0.363368001152	0.108040747294	0.0692713336305	0.0068411417626	0.183443174543	0.0418838125358
a38	0.237163456891	0.0958490521537	0.260697638051	0.089841469098	0.0720959492102	0.0189625919209	0.166312414848	0.0590774248453
a31	0.315594458964	0.0957211807179	0.201735997017	0.0892277796993	0.0649953477367	0.037337510307	0.134999712949	0.0603880059484
a24	0.288006572988	0.0979004935726	0.185298352339	0.0894055818998	0.0612980825789	0.038749324769	0.16472630565	0.0746152729828
a37	0.419183204329	0.108704324524	0.11269563278	0.0528972149666	0.039354423193	0.0260710460897	0.161039945217	0.0800541966609
a15	0.55741686811	0.129111236841	0.0932988395933	0.0368710433222	0.0287639353977	0.0167755381966	0.0937430834057	0.0440194125536
a31	0.507621696037	0.0977806122803	0.0984776265311	0.0322395504407	0.0285659694659	0.0639181237322	0.120970646135	0.0504257455179
a20	0.440274958679	0.0741517310934	0.105526098844	0.0373554368136	0.0296210431553	0.0919279062441	0.143213164045	0.0779296818393
a31	0.359784696226	0.0629887576978	0.0971304396147	0.0467865789379	0.0231231870518	0.0563717764147	0.175538576682	0.178276030613
a37	0.294659162075	0.0855449075659	0.141945409872	0.0616083929793	0.0195399830173	0.0395308864716	0.161762960894	0.195408323538
a46	0.334341744025	0.0971289758553	0.171823283291	0.0618336189931	0.0250649820058	0.0702858038239	0.105576040965	0.133945544513
a20	0.308196488008	0.0685159906184	0.116000153764	0.0475503866644	0.0475281673353	0.156778511275	0.124562528988	0.130867758171
a24	0.253266359336	0.0426258052061	0.0631086139213	0.0361439365548	0.0760778504451	0.257857967092	0.150734039663	0.120185412724
a31	0.210902449779	0.0652000180687	0.0890294546404	0.0332982951849	0.0731617381484	0.247544502364	0.173135559888	0.107727960908
a17	0.269341849926	0.101405261356	0.138725518213	0.0451413760616	0.0526329597161	0.155383804121	0.143195161629	0.094174063636
a20	0.276798743309	0.104570492452	0.135019079404	0.0681814186872	0.0650164389054	0.16103013804	0.098903065543	0.0904806345453
a38	0.192119694436	0.096611365484	0.112347219801	0.0835152695624	0.0932318396351	0.226470686013	0.101481238514	0.0942226948484
a31	0.160631541479	0.107009129828	0.1158549066	0.0896540451875	0.094522141545	0.198759462004	0.126948072838	0.106620721616
a17	0.194958400493	0.127710493276	0.1393291922	0.0918993603958	0.0810387888483	0.127314517335	0.126054019613	0.111695253872
a31	0.166732986831	0.148559671092	0.1457406774	0.111113136799	0.0742039316161	0.0899595757783	0.131980555204	0.131709454624
a37	0.13856317561	0.157647120364	0.1452942458	0.121900932266	0.0804093225387	0.0801565585928	0.138354683735	0.137673951541
</S>	0.169070187805	0.150322035182	0.1466902179	0.113631836133	0.0894688562694	0.0904139692964	0.119404279868	0.12099862577
