 	possono	essere	ancora	svegli	</S>
a31	0.44252109	0.053033615	0.136873587	0.223581985	0.143989754
a20	0.410786133333	0.041936933	0.229779187	0.233017011667	0.0844807606667
a23	0.260699627778	0.0617745976667	0.368125335667	0.235946657222	0.0734538068889
a31	0.388932689259	0.0782766642222	0.305545535222	0.169883240741	0.0573618606296
a20	0.64980389642	0.0600124768741	0.142372545741	0.0942199455803	0.0535911052099
a11	0.788156498807	0.0304009730914	0.062422051247	0.0512945401934	0.0677259317366
a20	0.743089199602	0.0238829660305	0.0411504740823	0.0494951273978	0.142382237246
a31	0.622074259867	0.0208580256768	0.0591645516941	0.0948619484659	0.203041225749
a37	0.560256099956	0.0468055642256	0.0737334842314	0.120102669489	0.199102188583
a31	0.607589719985	0.0949237447419	0.0722981197438	0.0848331774963	0.140355255194
a11	0.593910906662	0.118520761581	0.0901168065813	0.0869660901654	0.110485460731
a46	0.458812568887	0.135531980527	0.121465715527	0.131328346722	0.152861410244
a31	0.363777196296	0.235768856842	0.137482608509	0.125381373907	0.137589963415
a46	0.317996518765	0.276698238947	0.14960098617	0.126109416302	0.129594831138
a31	0.309830506255	0.284560796316	0.167120602057	0.120528480101	0.117959625379
a20	0.319283388752	0.286548228772	0.170623147352	0.115089238034	0.108455986793
a28	0.279438126251	0.275441899591	0.168126449117	0.140999066011	0.135994452264
</S>	0.258302808125	0.313843599796	0.161887244559	0.135849948005	0.130116416132
