 	dovevo	comprare	il	pane	</S>
a31	0.6400682	0.0630782944	0.03502859115	0.1921436388	0.06968134715
a46	0.675898776667	0.0265746627333	0.13328537615	0.0928747654667	0.0713664838167
a31	0.687437602222	0.0145338682778	0.167146285717	0.0587251695222	0.0721570827722
a18	0.807160780741	0.00737911212593	0.0938345755723	0.0320147358741	0.0596107857574
a13	0.820491206914	0.00807023487531	0.0697615005241	0.0364866952914	0.0651904219191
a0	0.881186102305	0.0121497854584	0.0295039438414	0.0353440687638	0.0418161593064
a20	0.869474017435	0.0129559628195	0.0191349696138	0.0627384399213	0.0356966071021
a7	0.803143889145	0.0114132932732	0.0189250048713	0.104748914974	0.0617689077007
a20	0.668147776382	0.0241355210911	0.0275977499571	0.125847294991	0.154271672567
a31	0.673843572127	0.0361372023637	0.0351172456524	0.101037603664	0.153864368189
a11	0.700553240709	0.0575826154546	0.0351960295508	0.133643429888	0.0730246787297
a39	0.518199296903	0.127175949818	0.0480026185169	0.226210293296	0.0804118749099
a31	0.367579908968	0.139177367939	0.0867106595056	0.321152497765	0.08537959597
a13	0.404173732989	0.101849007313	0.0920640165019	0.342929989255	0.0589832586567
a17	0.44168142433	0.156936205771	0.070268718834	0.267086183085	0.0640274532189
a31	0.28202900811	0.204781815257	0.123334569611	0.323293777695	0.0665608057396
a46	0.224233136037	0.195685411752	0.167592066537	0.329775035898	0.0827143585799
a20	0.246904328679	0.164075253917	0.134937238846	0.350928235299	0.103154956193
a31	0.154651606226	0.174342304639	0.176382072949	0.4216579851	0.072966010731
</S>	0.098615763113	0.215858787319	0.240856966475	0.39325890255	0.0514095433655
