 	mi	sono	vestito	</S>
a39	0.46119812	0.11250645	0.280620585	0.145674836
a11	0.731122773333	0.0878306693333	0.120596572667	0.0604499443333
a13	0.816498491111	0.0728411891111	0.0764926785557	0.0341676197778
a18	0.63800128037	0.16273866637	0.143103679519	0.0561563865926
a31	0.42301465679	0.185994845457	0.214801066506	0.176189425531
a37	0.54833679893	0.109736050819	0.150879111835	0.191048039844
a15	0.706959432977	0.0996315726063	0.0817210702783	0.111687937948
a31	0.684309554326	0.0943949368688	0.100000710093	0.121294799316
a46	0.545908434775	0.0713368416229	0.147423573364	0.235331126439
a31	0.309038369925	0.0787299338743	0.169576557788	0.44265515548
a20	0.276972408308	0.119313397958	0.167304439263	0.436409788493
a31	0.273292149436	0.299220369319	0.159112896421	0.268374586164
</S>	0.205765194718	0.446064084659	0.14523219321	0.202938523082
