 	perché	aveva	lavorato	molto	</S>
a46	0.283925215	0.1256163375	0.1188297905	0.40402483	0.0676038235
a31	0.141523785333	0.0624465735167	0.0810464118333	0.674663943333	0.0403193046677
a17	0.105543485444	0.0365027838556	0.105065393611	0.726031114444	0.0268572450569
a31	0.096472103148	0.0574863029519	0.350987931204	0.471220444815	0.0238332276856
a37	0.0550280473827	0.068351095984	0.485511017068	0.370452554938	0.0206572762285
a31	0.0859779841276	0.091516095328	0.458967729023	0.339842198313	0.0236959987428
a18	0.0865364343759	0.0893339794427	0.422175203008	0.371331812771	0.0306225605809
a10	0.0671934344586	0.0568105584809	0.413756024336	0.413472150924	0.0487678011936
a31	0.29922732482	0.0557300151603	0.343903411445	0.257665223641	0.0434740487312
a46	0.566247928273	0.0597981530534	0.158825622148	0.182684734547	0.0324435879104
a20	0.585569009424	0.0789569043511	0.0847576773827	0.208226944849	0.0424894793035
a11	0.479062269808	0.10986752145	0.0745957691276	0.276665041616	0.0598093997678
a18	0.348850213269	0.136851563817	0.0866830380425	0.355774740539	0.0718404299226
a31	0.312598237756	0.133124066272	0.112547399347	0.36876904018	0.0729612599742
a0	0.410058709252	0.122779183757	0.108775093116	0.28384974006	0.0745372999914
a31	0.368351276417	0.105292297252	0.0886791360387	0.333367246687	0.10431004333
a8	0.258215102139	0.116337511751	0.11532536368	0.365998082229	0.144123894443
a31	0.232600544046	0.14068234725	0.140158981227	0.329872420743	0.156685688148
a7	0.226012521349	0.15017920575	0.146316950409	0.319391590248	0.158099759383
a31	0.21899449045	0.146221126583	0.14244940547	0.333477586749	0.158857423128
</S>	0.177355890225	0.123243065292	0.130367940735	0.411547543375	0.157485576564
