 	che	non	li	aspettiamo	</S>
a20	0.296188825	0.504745415	0.036707798	0.0159512421	0.146406766
a8	0.440342158333	0.482066238333	0.0142166271	0.00562460707	0.0577504276667
a7	0.773354919444	0.183709204444	0.0206957514667	0.002043342792	0.0201968223889
a35	0.805863939815	0.153676266481	0.0254516171556	0.002736034296	0.0122721046296
a46	0.666922413272	0.243143855494	0.0187085580519	0.0364793409987	0.0347457805432
a31	0.650336591091	0.236097815165	0.0182587340173	0.0508260173329	0.0444808301811
a11	0.627091663697	0.239388398388	0.0333001570058	0.0455465744443	0.054673206727
a31	0.437816867899	0.250464039463	0.0540788656686	0.115145023148	0.142495228909
a0	0.363545812633	0.163214511488	0.0533509218895	0.128423452049	0.291465299636
a31	0.267274237544	0.116062422163	0.0531081372965	0.0843976050163	0.479157589879
a30	0.332282389181	0.0873156240543	0.102623382432	0.0706850583388	0.40709356596
a0	0.430683419727	0.0852546646848	0.132462165811	0.12134800278	0.230251754653
a31	0.274672266576	0.106315214895	0.10980178027	0.159442425593	0.349768314884
</S>	0.185398238288	0.110756717447	0.101554345135	0.133323844797	0.468966857442
