 	forse	stanno	ancora	svegli	</S>
a31	0.469571945	0.0854982175	0.071862275	0.1792333625	0.19383415
a10	0.321442371	0.266333660833	0.11449636	0.190839770833	0.106887813333
a20	0.152640513	0.414190746944	0.200999113333	0.168942790278	0.0632268334443
a31	0.111039456	0.526216408981	0.208308254444	0.125981382093	0.0284544671814
a18	0.297879087	0.489120236327	0.114502195815	0.062457340031	0.0360411110938
a31	0.417819695667	0.314244848776	0.145702626272	0.0684360373437	0.0537967793646
a35	0.376922898556	0.260165119592	0.152734528091	0.0765680291146	0.133609390455
a31	0.361107879519	0.216962386531	0.103468078697	0.0808808297049	0.237580796818
a10	0.213002443173	0.367402922177	0.124015596232	0.100423623235	0.195155423606
a20	0.143717687724	0.460222660726	0.128088012077	0.116460031078	0.151511622535
a29	0.174268705908	0.421769430242	0.119691044026	0.119880003693	0.164390797512
a20	0.224587931969	0.391121850081	0.106003444675	0.104363483231	0.173923242504
a31	0.175969341656	0.491968856694	0.117068611558	0.081120475077	0.133872666835
a28	0.110649434885	0.512411522231	0.143854097186	0.122011730359	0.111073201612
a8	0.151604578295	0.375267164077	0.152279109062	0.171280316786	0.149568840537
a21	0.184332219432	0.309900091359	0.168174283021	0.172192912262	0.165400483512
</S>	0.189263769716	0.269445935679	0.18251166651	0.181519341131	0.177259261756
