 	vogliono	girate	</S>
a31	0.24226268	0.179001285	0.57873605
a20	0.220981413333	0.403726988333	0.375291593333
a31	0.195757004444	0.646283779444	0.157959189111
a18	0.216693611481	0.722935509815	0.0603708573703
a46	0.25546556716	0.632730289938	0.111804132123
a31	0.257957559053	0.362719143313	0.379323290708
a3	0.313016923018	0.238787057771	0.448196006903
a10	0.459851667673	0.30198046259	0.238167860634
a39	0.427290049224	0.431675960863	0.141033990211
</S>	0.384654674612	0.485450800431	0.129894527605
