 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a31	0.0390997585	0.0014536233	0.00255267255	0.036572743	0.42779941	0.2567069875	0.04157546	0.0450575785	0.14918170165
a8	0.0826956795	0.2127672476	0.0133316728167	0.0210417633333	0.434527486667	0.0946331131667	0.0499985176667	0.0385911705	0.0524133162167
a31	0.1080131365	0.2939685342	0.0179504708389	0.0114860835111	0.347917612222	0.0401120113889	0.0725194168889	0.0888851488333	0.0191475725722
a29	0.212055088833	0.199235743067	0.0267762068463	0.0212518679037	0.319803434074	0.0242453271296	0.0795471722963	0.108107211278	0.00897793979073
a11	0.254581182944	0.163540419356	0.0346091499488	0.0314376183012	0.135439000858	0.245274421043	0.0754744940988	0.0455530967593	0.0140906279302
a31	0.172379130981	0.0696614771187	0.0273049889829	0.0751876837671	0.118801409786	0.379934837014	0.107508168033	0.0271823169198	0.0220400409767
a17	0.166112120327	0.0325806043729	0.019351753461	0.0845997218224	0.112303559162	0.446517572338	0.093039196011	0.0207742879733	0.0247212253256
a21	0.326411820109	0.018413873791	0.0129200539537	0.0422401325075	0.044825814954	0.449233244113	0.0616592936703	0.0206607616578	0.0236350247752
a24	0.432772716703	0.0131641110303	0.0105976329512	0.0267691081692	0.0225076281513	0.377665048038	0.0597618738901	0.0278596355526	0.0289022562584
a31	0.313916572234	0.0115495247768	0.00735664561707	0.172112542056	0.0289187845504	0.325579388013	0.0569458562967	0.0385905045175	0.0450301654195
a18	0.294375780745	0.0109727568589	0.00602663930569	0.222021663685	0.0335975906835	0.253119548004	0.0531468614322	0.0372691611725	0.0894699851398
a31	0.283164950248	0.00645266021963	0.0038341702019	0.188992237562	0.0386568380612	0.229706156001	0.0557522458107	0.0356345503908	0.157806181713
a8	0.272402893416	0.0140945354065	0.0110307684006	0.188392265854	0.0503111440204	0.145522178667	0.0961791052702	0.0551737547969	0.166893351904
a31	0.277268357805	0.0179878148022	0.0154423134669	0.129718728618	0.0430410993401	0.110441731222	0.12793567509	0.0656456329323	0.212518641968
a11	0.285954325935	0.0251725526007	0.021169595489	0.117552811539	0.0437108831134	0.084800452074	0.134840911697	0.0709551256441	0.215843307323
a31	0.279467605312	0.0309960942002	0.030184464163	0.116361055846	0.0404229577045	0.0691153176913	0.156544913899	0.0917230118814	0.185184542441
a8	0.241745998437	0.0436891134001	0.0451161080543	0.125378288615	0.0495981525682	0.0626807262304	0.1531909593	0.10144537396	0.17715528248
a24	0.222762092812	0.0679504964667	0.0666789460181	0.100527801205	0.0754215675227	0.0968120387435	0.135837354433	0.0988742979867	0.135135415827
a31	0.167366757604	0.0599466398222	0.066907222006	0.093717130735	0.0690671325076	0.0864402372478	0.174279434811	0.114382399329	0.167893048609
a37	0.184287009201	0.0594139776074	0.0674791573353	0.0943247655783	0.0634523175025	0.0715312850826	0.179269599937	0.116491976443	0.163749909536
a31	0.176648947734	0.0588406338691	0.0761265137784	0.0933656885261	0.0579443028342	0.0626106533609	0.180778421646	0.134052555481	0.159632289845
a28	0.169044480578	0.0603215459564	0.0807219292595	0.096068042842	0.0579178979447	0.0588172544536	0.178779345549	0.14016919516	0.158160309948
a31	0.158214736859	0.0616797176521	0.0898690330865	0.0913347009473	0.0569062009816	0.0571013571512	0.177957520183	0.148783615053	0.158153106649
</S>	0.11071176843	0.047176197326	0.0958025815432	0.0817838504736	0.0390547279908	0.0381659370756	0.215496110091	0.180497552527	0.191311263324
