 	è	che	è	entrato	da	qui	</S>
a31	0.261255235	0.11021316	0.06840711	0.036012148	0.0633544515	0.248140195	0.21261769
a7	0.260053321667	0.202965556667	0.15826846	0.0297649853333	0.0383548988333	0.1899362152	0.120656510667
a18	0.241197390556	0.312840858889	0.275999566667	0.0278862047778	0.0218958076111	0.0660029757333	0.0541771322223
a31	0.246596483519	0.315783732963	0.260320375556	0.0374988805926	0.036636266537	0.0681730657111	0.0349911820741
a46	0.423722534506	0.237261902321	0.148795705852	0.0360056701975	0.0434412930123	0.0824487739037	0.0283241500247
a31	0.566280511502	0.146733572107	0.0731005626173	0.0275329483992	0.0487623201708	0.0905285466346	0.0470615546749
a39	0.524522490501	0.123210537369	0.0442150548724	0.0269900754664	0.0609845183903	0.117872418878	0.102204910225
a28	0.4505002635	0.0965650597897	0.0311393002908	0.0306830621555	0.0624916327968	0.142909279626	0.185711436742
a31	0.3039369145	0.0673029482632	0.0328143867636	0.0969580800518	0.0798112442656	0.166314189875	0.252862265581
</S>	0.22199312725	0.0599931956316	0.0360251213818	0.162214685026	0.0869681121328	0.165225744938	0.267580032791
