 	Marika	tu	hai	mangiato	</S>
a8	0.0162256985	0.041564832	0.0278914025	0.727704345	0.1866136975
a31	0.0117535336567	0.037929349	0.0169710495	0.766323448333	0.167022574862
a24	0.0042760262089	0.0147835759667	0.0252356225	0.899979662778	0.0557250650797
a31	0.0402569462363	0.0205802416222	0.0626882321667	0.752953374259	0.123521179457
a28	0.0809233720788	0.0885084555407	0.109063387389	0.530884868086	0.190619926486
a31	0.110625974026	0.14143014518	0.123824527463	0.372132946029	0.251986415495
a3	0.108882724675	0.170005951727	0.164136300821	0.308790048676	0.248184959832
a18	0.080675498225	0.182863387242	0.188785543607	0.372617556225	0.175057987944
a31	0.0730709594083	0.151110555747	0.175377524536	0.351323232075	0.249117715981
a23	0.117861699803	0.136474468582	0.140183178179	0.267374097358	0.338106551994
a31	0.141679586601	0.189924439527	0.142549502726	0.190434235786	0.335412247331
a20	0.186461158867	0.219762916509	0.175344850909	0.165270188595	0.25316088911
</S>	0.260107954433	0.194555063255	0.162488750455	0.173778074298	0.209070129555
