 	vuole	bianco	</S>
a20	0.3354041	0.300464125	0.36413181
a31	0.372577886667	0.422823708333	0.204598434
a11	0.280912915556	0.648761762778	0.0703253008667
a31	0.444675138519	0.508032004259	0.0472928191556
a39	0.55920547284	0.400863908086	0.0399306000519
a20	0.433615050947	0.523234102695	0.0431508470173
a31	0.337353033649	0.599054300898	0.0635926736724
a39	0.321607847883	0.605953300299	0.0724388792241
a46	0.333121695961	0.575731033433	0.0911473030747
a24	0.315538758654	0.524477371144	0.159983874358
a46	0.313547926218	0.442412043715	0.244040004786
</S>	0.311354673109	0.418737961858	0.269907322393
