 	non	ho	cosa	è	da	mangiare	</S>
a31	0.0574515685	0.0119516975	0.06204989	0.0866550042	0.063362688	0.467749505	0.25077967
a8	0.0657601641667	0.0346598328333	0.12124965	0.105113217533	0.101570224667	0.442208005	0.129438909
a31	0.0485204460556	0.0601469942778	0.15849331	0.174577042511	0.159132211556	0.343968311667	0.0551616721
a37	0.0446644246852	0.0667852527593	0.17851286	0.270954067504	0.148060075852	0.269006185222	0.0220171383667
a20	0.130380582895	0.115132892253	0.203484193333	0.314217459168	0.104605573951	0.116009991407	0.0161693356889
a31	0.149054896965	0.114806520751	0.138006881111	0.275512416389	0.188541421317	0.115132072136	0.018945840563
a17	0.162270844988	0.0848124385837	0.0842960447037	0.21406147213	0.208861803772	0.151427884045	0.0942695601877
a20	0.282183684996	0.0837584468612	0.0398017042346	0.11292523071	0.135683554591	0.165910534682	0.179736876729
a31	0.241743131665	0.0697589666204	0.0398885430782	0.0784027969033	0.118084134864	0.174455468227	0.27766700891
a39	0.248454133888	0.0854989092068	0.0551297166927	0.0951300156344	0.112327364955	0.139771094742	0.26368879497
a35	0.312977231296	0.109750724736	0.0803157278976	0.121974845211	0.108890628318	0.110376293581	0.15571455699
a39	0.242428397099	0.120286081579	0.121669972633	0.14340977507	0.108669212773	0.116989354527	0.146547218997
a46	0.1888121057	0.121573930526	0.152123950878	0.161414578357	0.113959440924	0.124993671509	0.137122311666
a35	0.1660463619	0.117504423509	0.175190486959	0.178677709452	0.113539576975	0.12514380517	0.123897647222
a31	0.116072909967	0.0893138918363	0.137025268986	0.138811143151	0.146401208992	0.19861550639	0.173760100407
</S>	0.0725793589835	0.0645943119182	0.088576234493	0.0904064315755	0.180839654496	0.272915668195	0.230088360203
