 	la	casa	la	costruirono	i	muratori	</S>
a31	0.1915219785	0.0123710145	0.059451537	0.27737342	0.02186587625	0.14784317825	0.28957297
a17	0.194508176833	0.0164805518333	0.079963499	0.53516994	0.01222202035	0.05361164183	0.108044156667
a39	0.149886519611	0.0392006539444	0.141762453	0.572738203333	0.0126265692167	0.0212689885233	0.0625165775557
a3	0.278104033204	0.0769648346481	0.146391699667	0.382177247778	0.0246101970722	0.0174097751744	0.0743421778519
a35	0.450943827735	0.108754958216	0.0854531175557	0.225645622593	0.0311559546907	0.0206163523915	0.0774301259506
a31	0.377081045912	0.085473717072	0.0527237348519	0.392602990864	0.0252468378969	0.0153806569638	0.0514909728835
a24	0.378710161971	0.0456749566907	0.031070541284	0.419452395621	0.0259149566323	0.0450747444879	0.0541022551945
a31	0.38823965199	0.0419330165636	0.072081643428	0.33607263054	0.0471191782108	0.0575549891626	0.0569989237315
a39	0.32709730533	0.0423329198545	0.0877129968093	0.311252729513	0.0530843730703	0.0879246387209	0.0905950532438
a31	0.298030871777	0.0437124386182	0.11178701127	0.269824695838	0.0646479916901	0.103475132907	0.108521876415
a24	0.291904480592	0.0517394615394	0.123804095423	0.262377506279	0.0686622725634	0.0960893476357	0.105422850805
a31	0.299112770197	0.0657919651798	0.117654893474	0.20025965976	0.0645111658545	0.115440830545	0.137228700268
a28	0.273570770066	0.0944337597266	0.137950724491	0.216216853253	0.0684907002848	0.0942720098483	0.115065178423
a45	0.313217960022	0.0941978782422	0.086182858497	0.129062282084	0.0537888667616	0.165422584949	0.158127597808
a31	0.228605086674	0.100437734414	0.0712806298323	0.0858428516947	0.0398729432539	0.210363854983	0.263596909269
a20	0.275778348891	0.144246358138	0.0868008999441	0.0954499705649	0.037039256418	0.136156158328	0.224529016423
a31	0.28821011963	0.186190556046	0.104039319981	0.105949686855	0.033979278806	0.0858584761093	0.195772585474
a8	0.28353842321	0.195425952015	0.111531673327	0.110592935618	0.0382947799353	0.0717981037031	0.188818138491
a31	0.305220664403	0.220475490672	0.110998417776	0.103390706539	0.0424222039784	0.0626599475677	0.154832556164
a20	0.306546454801	0.229528150224	0.113179582592	0.106591316846	0.0436354653261	0.0583974138559	0.142121582055
a18	0.349050274934	0.180135286741	0.106785164197	0.110353923615	0.0694734181087	0.077501162952	0.106700724018
a31	0.298778238311	0.205809212247	0.108976276399	0.094930189205	0.0719623537029	0.084314420984	0.135229304673
a11	0.293829906104	0.218001234082	0.111218927133	0.0936552364017	0.0696372022343	0.078772425328	0.134885114891
a27	0.279113662035	0.173550108027	0.118565295711	0.115203592134	0.0956573357448	0.099393981776	0.118516054964
a31	0.225418100678	0.195291886009	0.117873025237	0.0968097257113	0.101550011915	0.109141369259	0.153915881655
a0	0.217373356893	0.20413782867	0.117298871746	0.0907750769038	0.101058810638	0.108346055086	0.161009980552
a31	0.214556075631	0.196323479557	0.125596810582	0.0897204946346	0.104931786879	0.111298668362	0.157572660184
a18	0.21265506521	0.193333203186	0.128801970194	0.0912040672115	0.10591958896	0.111913044787	0.156173050061
a31	0.21008778507	0.184486937729	0.137723750065	0.0943033267372	0.10795019432	0.113252186929	0.15219582002
a46	0.193531128357	0.18050638591	0.142908396688	0.0966509232457	0.112885372773	0.11814093231	0.155376890007
a14	0.183816119452	0.15697975197	0.140487032229	0.130098727749	0.123665974258	0.125326817437	0.139625613336
a8	0.175623153151	0.148655920657	0.14038311741	0.141678162583	0.128637388086	0.129191149146	0.135831124445
a31	0.164944704384	0.177287226886	0.13268925247	0.107981569528	0.123879146029	0.128690776382	0.164527341482
</S>	0.161132012192	0.208250833443	0.124844031235	0.073555567764	0.115067923015	0.124491458191	0.192658205741
