 	non	deve	magniare	la	sera	</S>
a20	0.0706417035	0.01052895075	0.003207577335	0.364691015	0.187361335	0.36356946
a31	0.0581090890667	0.007266385682	0.00132560822167	0.561702061667	0.104899142233	0.266697758715
a18	0.0232573249222	0.00244346575	0.000578646826557	0.848414020556	0.0362700466443	0.08903654427
a37	0.0588423773074	0.002281866174	0.00137770180819	0.848059593519	0.0590223475481	0.03041612514
a18	0.228930152436	0.008150959558	0.00506855660273	0.613082144506	0.111362719183	0.0334054361133
a31	0.492265197479	0.0137061348527	0.00605378880091	0.311604408169	0.0959103777277	0.0804600520378
a13	0.60830338916	0.0364789879509	0.0327195312003	0.130312396056	0.0543694879092	0.137816177346
a31	0.443778473053	0.0666468746503	0.0644503737334	0.119575642019	0.10931767997	0.196230935782
a17	0.269252754351	0.0946690382168	0.132231157911	0.155133730673	0.157865036657	0.190848268594
</S>	0.239830842175	0.114570269108	0.196576498956	0.157056945336	0.137316658328	0.154648789297
