 	da	da	un	famoso	poeta	</S>
a31	0.1089509225	0.08286668	0.46692504	0.083921904	0.096580983	0.1607544435
a37	0.0695508965	0.0523267166667	0.593842213333	0.0515712886667	0.142794506333	0.0899143521667
a31	0.0323742715	0.0339804018889	0.702665351111	0.0311575175556	0.138607615444	0.0612148160556
a28	0.0236259925	0.068989166963	0.758497217037	0.0310874665185	0.0856319184813	0.0321682106852
a31	0.164515554167	0.213736375654	0.513260725679	0.0250044124728	0.0660268901604	0.0174560502284
a20	0.425626391389	0.274781728551	0.228871735226	0.0119905445576	0.0347759130535	0.0239537570761
a13	0.605843130463	0.211400199517	0.117545058409	0.0102566526192	0.0200405310178	0.034914500692
a39	0.591459536821	0.156439614839	0.0891574961363	0.0241349102064	0.0257988840059	0.113009599564
a31	0.40384609894	0.17401355328	0.0871979187121	0.0460054690688	0.146840637335	0.142096372521
a35	0.31642820298	0.198029091093	0.0834835095707	0.10330307969	0.206908955778	0.0918472001737
a31	0.29064147766	0.185215627031	0.0859250798569	0.140046748563	0.207726151926	0.0904449167246
a17	0.222229332553	0.184036582344	0.109672459952	0.143220061521	0.227261827309	0.113579732242
a31	0.196125320851	0.181122320781	0.121756206651	0.156142877174	0.206708332436	0.138144944081
</S>	0.184199215425	0.18836494539	0.110778918325	0.153686993587	0.220355736218	0.14261418704
