 	non	mi	aspetti	non	vengo	</S>
a33	0.03191782	0.1418672935	0.12259058	0.140785335	0.162744465	0.4000945325
a31	0.023251817	0.2036524445	0.27860415	0.136529844	0.189944645	0.168017140383
a37	0.011718582	0.155529777167	0.53488885	0.0659517003333	0.175769694	0.056141412991
a35	0.104450398333	0.132283774722	0.512587966667	0.0775034554444	0.122403680333	0.0507707026437
a31	0.167554876111	0.193728938241	0.340945178889	0.119925477148	0.114308860111	0.0635366568812
a7	0.174778228704	0.206407819414	0.29662386963	0.161068405716	0.103854654704	0.0572670216271
a18	0.186416186235	0.142826935471	0.20859733521	0.184205565239	0.174574856235	0.103379133876
a24	0.115392314412	0.0747855938237	0.12998737707	0.180294641746	0.236192315412	0.263347774625
a31	0.0636114504707	0.195513394275	0.17801027569	0.120893251582	0.164598252804	0.277373391542
a20	0.0838212001569	0.265165174758	0.29538896523	0.0958538415273	0.109491681935	0.150279177181
a8	0.139890496719	0.186124544919	0.288083211743	0.115896342509	0.130666727312	0.13933870906
a31	0.12301311724	0.158170046973	0.226160373914	0.14164158617	0.173586432437	0.17742844302
</S>	0.07652771612	0.131625031487	0.210398576957	0.171672738085	0.207086021219	0.20268991151
