 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
a8	0.0148423705	0.12784655	0.01453370035	0.0227805195	0.0588985825	0.116928922	0.153003868	0.05071858	0.21475158	0.225695358
a31	0.184140086833	0.14979272	0.04078200645	0.0561613515	0.0634436491667	0.119039912333	0.140286323	0.041352332	0.104878646667	0.100122994755
a39	0.237273731611	0.119426456667	0.0945432954833	0.119208768833	0.0956909713889	0.102477579111	0.0701880903333	0.0282980693333	0.0759552215557	0.056937815007
a31	0.0834402017037	0.067207243889	0.0975438851611	0.150197446278	0.175778150463	0.188568189704	0.124353052444	0.0208900264444	0.0489209531852	0.0431008349023
a27	0.0320179770679	0.0454883096297	0.063628238387	0.136372890426	0.172348576821	0.232298463235	0.183579940815	0.0476555688148	0.0409021937284	0.0457078182008
a11	0.0189498270226	0.10934743321	0.0783957927957	0.105375900809	0.106509282274	0.174128144412	0.146898806938	0.0640096696049	0.0677057172428	0.128679416067
a37	0.0196165010075	0.21442646107	0.111168724265	0.072659118603	0.0596900574247	0.0999149014707	0.0921395839793	0.0370410278683	0.0923149190809	0.201028722022
a31	0.113361545669	0.298744397023	0.131501201422	0.0602669588677	0.0315524204749	0.0739671791569	0.0586730196598	0.0175596379561	0.070557368027	0.143816311941
a3	0.15229593689	0.370528582341	0.101092755141	0.0428861822892	0.0413637294916	0.0844573150523	0.0503296478866	0.0170909229854	0.049235613009	0.0907193485803
a20	0.08131384063	0.47549031078	0.12186818638	0.0289125570964	0.0482149838305	0.0658083728174	0.0363062566289	0.0159963893951	0.0431942683363	0.0828948508601
a31	0.08389294021	0.50497069026	0.145055816793	0.0415142040321	0.0307201876102	0.0848985254058	0.037916711543	0.00733882776503	0.0232070411121	0.0404850681534
a11	0.101599073403	0.42254828342	0.0834374475977	0.0522541506774	0.0390458938701	0.127985938469	0.0509585948477	0.0107052858217	0.0306851880374	0.0807801392511
a31	0.0677362231343	0.29147906114	0.0448447705326	0.0587971748925	0.0832956989567	0.176455926156	0.0914755792826	0.0203199149406	0.0571165073458	0.108479135084
a29	0.0757073863781	0.188239003713	0.0368680495109	0.0704686449642	0.109325686319	0.237614295385	0.115492023094	0.0219373316469	0.0596436614486	0.0847039336947
a39	0.0863986354594	0.300907617904	0.0390626251703	0.0595130936547	0.103415072106	0.194546591795	0.0736594343647	0.0191729308823	0.0430520901495	0.0802719085649
a21	0.0446219864865	0.432798085968	0.0296773107234	0.0358755058849	0.086196845702	0.108175930598	0.0450330697882	0.0238986829608	0.0648141007165	0.128908463522
a31	0.0245159034955	0.531047621989	0.0211563082411	0.0285801946283	0.051754223234	0.0670652391993	0.0312877645961	0.0221436199869	0.0835657085722	0.138883436174
a37	0.0607904278318	0.452598295996	0.0338017304137	0.0470927935428	0.040691014078	0.0813012620664	0.051642224532	0.0231050429956	0.0950772878574	0.113899933725
a31	0.0748880852773	0.211996028999	0.0456984164712	0.0890872731809	0.0434036946927	0.0928664806888	0.0681499581773	0.0365884796652	0.150256075952	0.187065501242
a7	0.0571885757591	0.123109328	0.0705619931571	0.124980327727	0.0512418315642	0.0891130688963	0.0826837993924	0.0435790185551	0.181130138651	0.176411915081
a31	0.0553155645864	0.0910406126667	0.0919650110524	0.146967995909	0.0536386905214	0.0772891456321	0.0922943317975	0.0510482635184	0.19574911955	0.14469125636
a23	0.0459429728621	0.0796793242222	0.140583087017	0.184060118636	0.0478220318405	0.0586003672107	0.0803085479325	0.0534936325061	0.181430593183	0.128079309453
a13	0.0452612422874	0.0764744714074	0.199587919006	0.217872672879	0.0475122142802	0.0567386270702	0.0867386479775	0.049213576502	0.146009334394	0.074591287151
a3	0.0512105887625	0.0648635818025	0.192061309669	0.220155097626	0.0401170084267	0.0580623956901	0.100790803992	0.0454297745007	0.157423844798	0.0698856390503
a20	0.0672591995875	0.0553419219342	0.146239803223	0.172109565875	0.0302560504756	0.06450020023	0.115281249331	0.0472394938336	0.177013244933	0.124759313017
a31	0.0586037198625	0.0577519439781	0.139074144408	0.241918845292	0.0265195288252	0.0569401650767	0.087366609777	0.0443070689445	0.147414238311	0.140103726006
a46	0.0488120482875	0.0643960246594	0.193801058136	0.299519341764	0.0353814822751	0.0477711596922	0.065040935259	0.0414249746482	0.114372279437	0.0894806703353
a31	0.0466343630958	0.0579897505531	0.203371592712	0.221222887255	0.038023007425	0.0442582412307	0.0683356570863	0.0609274965494	0.147271769812	0.111965226778
a17	0.0481152030319	0.059285300851	0.206800697571	0.194894729085	0.043689092475	0.0457583937436	0.0652046156954	0.0704422021831	0.144944694937	0.120865076926
a31	0.049181164344	0.0586842792837	0.20415775919	0.172814283028	0.0456460614917	0.0463190512479	0.0669955872318	0.0791274573944	0.148617563312	0.128456806975
a20	0.046213941448	0.0577117950946	0.221370873063	0.181322367676	0.0434477744972	0.042073756416	0.0619913710773	0.0769053214648	0.143203506104	0.125759291658
