 	che	non	li	aspetiamo	</S>
a20	0.36397394	0.098528202	0.125095545	0.255979845	0.15642250635
a8	0.453045656667	0.0621053079	0.085501389	0.345275911667	0.0540717599833
a7	0.340621078889	0.0328533185333	0.0561694636667	0.544849137222	0.0255069852944
a35	0.37314059963	0.0645195795111	0.0524400585556	0.465835554074	0.0440641967648
a46	0.567898256543	0.113030949837	0.0435686318519	0.169977974025	0.105524165588
a31	0.623942262181	0.155370473279	0.031742954284	0.0763199713417	0.112624305196
a11	0.59689304406	0.220385371093	0.0414149517613	0.0445793447806	0.0967272850653
a31	0.525962474687	0.219770290364	0.0529176422538	0.0468051902602	0.154544401688
a0	0.420727894896	0.183228513455	0.0508382894179	0.0491392837534	0.296065987229
a31	0.251665574965	0.144990631152	0.053213576806	0.0399294329178	0.510200779076
a30	0.173636388322	0.0889856980507	0.0556282459353	0.148839142306	0.532910536359
a0	0.171592699441	0.0739641336836	0.0571031353118	0.272250370769	0.425089658786
a31	0.156751559814	0.0999390078945	0.0869956997706	0.265402736923	0.390911006262
</S>	0.144544179907	0.126381013947	0.113949859885	0.239997818461	0.375127153131
