 	sono	vestita	</S>
a31	0.1249878785	0.18180441	0.69320768
a20	0.1148677815	0.392341913333	0.492790276667
a31	0.114572395833	0.648878554444	0.236549012222
a41	0.118775583278	0.780722984815	0.100501403074
a46	0.178621832426	0.715899584938	0.105478553358
a18	0.318273300809	0.501790661646	0.179936017786
a24	0.33451204027	0.332435252215	0.333052715929
a31	0.280473783423	0.283042922405	0.436483291976
a11	0.371178814474	0.328208410802	0.300612760659
a0	0.450436138158	0.399192023601	0.150371853553
a15	0.373687446053	0.521692887867	0.104619681184
a8	0.325905308684	0.578414285956	0.0956803803947
a39	0.314212289561	0.595087205319	0.0907004834649
</S>	0.317046284781	0.596336302659	0.0866174067324
