 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a23	0.0550462265	0.0464237223	0.1327419126	0.2550949755	0.02550462	0.019084128	0.05197709115	0.0475510515	0.0421758199	0.12019652625	0.2042039075
a31	0.1526859255	0.0583110884333	0.1587895292	0.2597710455	0.0115089063787	0.00821781276667	0.12473652115	0.0900515081667	0.0177066342333	0.0472804809167	0.0709405505588
a20	0.2234161785	0.167260653811	0.107329048067	0.124698752167	0.00676834283823	0.0276941590222	0.16189888905	0.116786923722	0.0148774320778	0.0248087988389	0.0244608577784
a31	0.1949679895	0.205522967937	0.0657890090223	0.0736294529557	0.00633773261274	0.147696219674	0.0829864516833	0.118928505574	0.0347778670259	0.058443206813	0.0109206569595
a7	0.131171083167	0.0926075783123	0.0609215793408	0.0815130465519	0.0640221072042	0.208863863225	0.0518833872278	0.152181731858	0.062747472342	0.0791484336043	0.0149397798198
a31	0.077422589389	0.0540533097708	0.121156846447	0.135156288851	0.0880785314014	0.118507568408	0.0415721844093	0.154729660619	0.0866733907807	0.0851359758681	0.0375136809399
a24	0.073222101463	0.0454520545903	0.126112336816	0.126877641284	0.1441348828	0.0559989554693	0.0389408261364	0.166636356873	0.0785303319269	0.0871000186227	0.0569945223133
a37	0.164446133821	0.12163808153	0.097281285272	0.124289235428	0.173815002267	0.0343673524898	0.0248154285455	0.127569135624	0.0399731839756	0.0443942948742	0.0474109081044
a31	0.373588264607	0.20125207051	0.088925933424	0.113825333143	0.076033365389	0.0154088902966	0.0124470161485	0.0584871235413	0.0170139260585	0.0195860408914	0.0234320605681
a11	0.446817561536	0.167519011503	0.069872212808	0.104757742381	0.0438852164297	0.00863317089887	0.0211642705162	0.0644703795138	0.0326728517528	0.0207465008971	0.019461086056
a31	0.306324573845	0.101918749834	0.0659793806027	0.14320117746	0.0544525534766	0.035292845633	0.0529091191721	0.118763439838	0.0500371839176	0.039755124299	0.031365855352
a3	0.301677957948	0.089190651278	0.0651644448676	0.12995186582	0.0532351804922	0.0447116545443	0.0586382030574	0.123607389946	0.0466784246392	0.044253756433	0.0428904951173
a27	0.372096919316	0.105714337093	0.0567426982892	0.112976615273	0.0439599241641	0.0197278395148	0.0435348396858	0.105904853315	0.0598815432131	0.0379571941443	0.0415032587058
a20	0.367298053105	0.093974144031	0.0459148474297	0.122005265091	0.0349435640547	0.0109846388383	0.0415958098953	0.111328227772	0.089745306071	0.0449687357148	0.0372413945686
a31	0.275137894368	0.0705596743437	0.0689127071432	0.182627738364	0.0336002333516	0.0156511086128	0.0312574436318	0.082754355924	0.0822062646903	0.0755190352383	0.0817735095229
a20	0.326838008123	0.0768842614479	0.0888258790477	0.193707229455	0.0312695349505	0.0164582033709	0.0194171008773	0.043663657308	0.0447664088968	0.0693404577461	0.0888292331743
a11	0.421871059374	0.0939036024826	0.103724043016	0.158886266485	0.0193385861502	0.00975151295697	0.0198096696258	0.0349700137693	0.0351579329656	0.0398358772487	0.0627514177248
a13	0.312923593125	0.0817911818275	0.109089667672	0.150144013828	0.0238623400501	0.0178498376523	0.0370146585419	0.0487820339231	0.0504328063219	0.0538346194162	0.114275222575
a28	0.218731421042	0.0691290316092	0.0821785958907	0.106200514609	0.0393472876834	0.0349692718841	0.0580180961806	0.0673318979744	0.0696383554406	0.0770018531387	0.177453650858
a31	0.149940750347	0.0643040082031	0.0864778019636	0.131133203203	0.0408470822278	0.0401761319614	0.0523168780602	0.0584977853248	0.0637492284802	0.0999386293796	0.212618493619
a39	0.162716223449	0.075433610401	0.0977250239879	0.165122574401	0.0416909774093	0.0393138066538	0.0432790553534	0.0505961777749	0.0564587261601	0.0940292607932	0.173634587873
a31	0.14852143115	0.0715325048003	0.0788477666626	0.1292516698	0.0371538191364	0.0327772878846	0.0368802594511	0.0700488892583	0.0985167753867	0.128814554598	0.167655072624
a8	0.09946466705	0.0684291812668	0.0730755875542	0.105642394933	0.0451539450455	0.0426628656282	0.0445547141504	0.0826195464194	0.118009770129	0.149308536533	0.171078767541
</S>	0.107411638525	0.0822702281334	0.0862817137771	0.114026872467	0.0643632475227	0.0610835178141	0.0623714120752	0.0821028582097	0.0997872325645	0.114628290766	0.12567291877
