 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
a31	0.1034821875	0.079603425	0.33606635	0.0519950815	0.01847128	0.018820418	0.0185815015	0.017653932	0.0984815825	0.256844245
a20	0.0838855908333	0.0701556516667	0.389088726667	0.134621777167	0.033307856	0.0289783403333	0.0188387218333	0.023066734	0.1167902295	0.101266344533
a31	0.0375355486444	0.0452519314556	0.237105743556	0.143684273056	0.0361693003333	0.0304946949444	0.0253017772778	0.0205815365	0.387418811833	0.036456351211
a21	0.0179124159148	0.0240926707185	0.152064089185	0.108038548352	0.0801915134444	0.0647403931481	0.0424214074259	0.0296402363333	0.461090633944	0.019808097237
a31	0.0603466966383	0.0872602662395	0.199971613062	0.109156201117	0.0966555128148	0.107895069383	0.068799824142	0.0628938221111	0.184472105981	0.0225488624123
a13	0.121361672213	0.162555795413	0.230628391021	0.0646704287057	0.0389992852716	0.123154654794	0.0919845213807	0.069879352037	0.071685518327	0.0250803264708
a31	0.136326464071	0.196891221804	0.252889383674	0.0528900679019	0.0196711997572	0.120275614931	0.0914395671269	0.0629588953457	0.042062850109	0.0245946888236
a6	0.142805228024	0.220612060601	0.321773604558	0.042434397634	0.0113008776524	0.0841594983103	0.067845594709	0.0464613284486	0.0312222881363	0.0313850846079
a46	0.183303639341	0.260014916867	0.353808368186	0.027305706878	0.00559364728413	0.0591427044368	0.045181104903	0.0209150596829	0.0132569304788	0.031477908536
a31	0.162337193114	0.235151335622	0.311232299395	0.0481891512927	0.00510167809471	0.0523955854789	0.0352635916343	0.0330748500943	0.0456921521596	0.0715621791787
a46	0.212705021038	0.223721215207	0.238288429798	0.0511936486642	0.00752741569824	0.0487827041596	0.0360643395448	0.0389886536981	0.0571080643865	0.0856205110596
a11	0.301252887013	0.271604301736	0.193789766599	0.0233941724547	0.0112865788994	0.0483297313865	0.0442157418483	0.0237655838994	0.0260236484622	0.0563375683532
a37	0.279621665671	0.268474113912	0.2294203922	0.0181885231516	0.0138754722998	0.0525450344622	0.0499435059494	0.0196719852998	0.0160033848207	0.0522559087844
a18	0.260375575224	0.259588987971	0.2621459274	0.0223348533839	0.0162024800999	0.0515970454874	0.0488127409831	0.0195579720999	0.0116644616069	0.0477199612615
a46	0.231024445075	0.230024912657	0.2397731558	0.032562479128	0.0247286473666	0.0689861868291	0.0679347293277	0.0277331783666	0.0156046385356	0.0616276627538
a31	0.160427801025	0.175738750886	0.218809451933	0.0534568317093	0.0283447397889	0.0638586972764	0.0661115147759	0.0304994574555	0.144755442845	0.0579973515846
a20	0.192681763008	0.176202423629	0.185166328978	0.0498209909031	0.028357427263	0.0551153424255	0.0611191699253	0.0288670948185	0.185280264948	0.0373892201949
a35	0.270770544336	0.209291087876	0.136776411326	0.041601197301	0.0367089367543	0.0750937221418	0.0850025799751	0.0341153509395	0.0788673349827	0.0317728233983
a6	0.252152761445	0.192194269292	0.117673570442	0.057464075767	0.0506321145848	0.0840474687139	0.094580518325	0.0472889829798	0.0589933323276	0.0449728921328
a13	0.217172547148	0.158743793097	0.101574153481	0.071480738589	0.0673714728616	0.088402686238	0.0962160161083	0.0654572409933	0.0679011954425	0.0656801540443
a28	0.182405072383	0.135423304366	0.0995816464937	0.083807042863	0.0789976309539	0.0909052200793	0.0955878970361	0.0771731016644	0.0775775131475	0.0785415680148
a31	0.130871094128	0.107271454789	0.102780654165	0.0971855509543	0.0728017016513	0.0772374746931	0.0813834956787	0.0767914618881	0.174911125716	0.0787659793383
a10	0.153558381376	0.109293088263	0.105125840055	0.0843027353181	0.0636763085504	0.0734893115644	0.0780574985596	0.0702080206294	0.194587316239	0.0677015077794
a24	0.209228360459	0.134101789421	0.0999892653517	0.0682008534394	0.0690765228501	0.0863479505215	0.0912800295199	0.0708291385431	0.105296524746	0.0656495905931
a31	0.150907765486	0.107173469807	0.0830478137839	0.0685096898131	0.0650796466167	0.0744169941738	0.0780894185066	0.100455607848	0.147086386582	0.125233203531
</S>	0.100602000743	0.0791033149035	0.069938014892	0.0622814629065	0.0561297118083	0.0603709030869	0.0625075172533	0.126593033924	0.203403693291	0.179070331766
