 	qui	dentro	vuole	un	tappeto	</S>
a31	0.43476282	0.0345978455	0.40437858	0.068939996	0.0427035745	0.01461714525
a18	0.402629586667	0.0178487195	0.204996225667	0.0714768573333	0.255894682167	0.04715389975
a10	0.214677162222	0.0158230011667	0.140130034222	0.159209515778	0.396742740722	0.07341754025
a31	0.208471990741	0.0181288833889	0.123130782407	0.228790528593	0.276365266907	0.14511254175
a14	0.179964276914	0.0140091801296	0.161778101802	0.253556599531	0.208782552302	0.181909290583
a31	0.132957648971	0.0244094827099	0.331420717267	0.206650483177	0.194282054101	0.110279621194
a39	0.161700749657	0.03618300257	0.369414579089	0.131475466059	0.1882002247	0.113025938065
a31	0.175996299886	0.05272756919	0.32074315303	0.104184480353	0.233265861567	0.113082598022
a39	0.130103331962	0.0764184350633	0.300619694343	0.0861753301177	0.325987173856	0.080696044674
a33	0.133957135987	0.131538973688	0.250131554781	0.0852886500392	0.312687151285	0.0863965382247
a31	0.223121658662	0.165251637896	0.19975102826	0.0908045716797	0.219477883762	0.101593176075
</S>	0.290032879331	0.150116493948	0.16653652913	0.0972301783399	0.183366391881	0.112717463037
