 	non	ho	dove	d'	andare	</S>
a20	0.110995223	0.203615935	0.479546785	0.035128232	0.128267915	0.042445915
a31	0.0456561728133	0.153097818333	0.574342075	0.0263739781967	0.173248621667	0.0272814019007
a37	0.0268132520844	0.109704099444	0.662212591667	0.00986016566223	0.179642405556	0.0117675528676
a31	0.0287832633615	0.070236995148	0.809413780556	0.00569433378741	0.0790496997287	0.00682196505587
a29	0.0363114324538	0.0898447203827	0.835931443519	0.00370075532914	0.0311796231196	0.00303204801862
a41	0.0577466674846	0.218603656794	0.69680144784	0.00277357920971	0.0168435700399	0.00723107490621
a31	0.107636592495	0.373788698931	0.488601462613	0.0060365812699	0.01030451668	0.0136321039687
a18	0.214542120832	0.39227240631	0.264881625538	0.0275337767566	0.06154979356	0.0392202276562
a31	0.253612466944	0.334439385437	0.103081553179	0.0472135822522	0.201573527853	0.0600794785521
a39	0.261779715648	0.282340788479	0.0594005120597	0.0724725807507	0.254590185951	0.069416234184
a31	0.229740748549	0.204316762826	0.0470073590199	0.0787862759169	0.359709215317	0.0804396513947
a8	0.169581969516	0.169689717609	0.0703694936733	0.091946967639	0.394876928439	0.103534930465
a31	0.154750399839	0.15553228387	0.0794598325578	0.110160641213	0.396831182813	0.103265672488
a8	0.14521437328	0.14940895929	0.0863480055193	0.118015535738	0.395397424271	0.105615703163
</S>	0.16073244664	0.159653579645	0.12094308276	0.138586622869	0.287181182135	0.132903076581
