 	vuole	pianto	</S>
a39	0.47378872	0.27048765	0.255723672
a31	0.710636573333	0.1932416948	0.0961217482186
a41	0.849748524444	0.117987759733	0.0322636798048
a31	0.825664174815	0.162193359911	0.0121424127816
a37	0.821022008272	0.172286273304	0.00669168659387
a11	0.875693252757	0.117107628768	0.00719908219796
a39	0.710713860919	0.102404213923	0.186881897066
a31	0.385460480306	0.112443641308	0.502095865689
a46	0.299254963435	0.149625493769	0.551119521896
a31	0.269356791145	0.18340746459	0.547235740632
</S>	0.205450970573	0.163054782295	0.631494270316
