 	l'	ha	scritta	</S>
a20	0.085782761	0.22465805	0.50195095	0.187608225
a31	0.0447329361667	0.266903646667	0.572509676667	0.115853727251
a35	0.0294593348889	0.256477588889	0.665788422222	0.0482746433349
a31	0.0302415706296	0.443336496296	0.498664044074	0.0277578611116
a35	0.0392239682099	0.524825818765	0.412822968025	0.0231272033705
a31	0.05310707407	0.569089882922	0.352246399342	0.0255566027902
a41	0.206145319357	0.527330147641	0.192135063114	0.0743894375967
a31	0.420346973119	0.26273433588	0.202828797705	0.114089872532
a11	0.538967057706	0.170489015293	0.201184632568	0.089359280844
a18	0.588612319235	0.157446685098	0.161193367523	0.0927476202813
a13	0.556230939745	0.162131828366	0.159775445841	0.121861813427
</S>	0.531398169873	0.168760664183	0.164049237921	0.135791986714
