 	l'	ho	sentito	che	veniva	</S>
a41	0.124990245	0.25603197	0.2207899725	0.232645773	0.020421773	0.145120321
a31	0.109715911667	0.255271506667	0.1225497825	0.362817653	0.0169993717	0.132645798
a24	0.336514677222	0.155954255556	0.0788729401667	0.375313859	0.00641269973333	0.0469315752667
a15	0.539854195741	0.243077128519	0.0406111610556	0.156724054333	0.00233103884111	0.0174024212556
a28	0.455123711914	0.29732908284	0.0598949220185	0.172070988111	0.0031531857437	0.0124280789852
a0	0.361536887305	0.18610970328	0.10488444734	0.300547146037	0.0151355852479	0.0317861903284
a31	0.374963699102	0.108411653427	0.0949496011133	0.260865748012	0.0342770427493	0.126532233443
a11	0.378301619701	0.113417847809	0.102878635704	0.148698625337	0.0689518442498	0.187751444481
a31	0.2477810899	0.124169995936	0.127707550235	0.108928247779	0.19900471475	0.192408411494
a39	0.201324959967	0.126307325312	0.153217068412	0.059637868593	0.267318821583	0.192193967165
a20	0.210337466656	0.125295168437	0.211526069471	0.053020430531	0.235625223861	0.164195652388
</S>	0.194827723328	0.119603534219	0.236247944736	0.0512308317655	0.24007754693	0.158012411194
