 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	0.0608384135	0.109261745	0.0114676407	0.17878417475	0.062560395	0.38744588	0.18964176
a31	0.0243621421604	0.098992726	0.00443777820857	0.0606523389833	0.0486839506667	0.678445203333	0.0844258566899
a21	0.0104670573805	0.0359559166667	0.00196174011142	0.0242575192278	0.0339895088889	0.861533517778	0.0318347299199
a37	0.0132402924602	0.0178982752222	0.00462003623714	0.0156186584093	0.085716735963	0.782487212593	0.08041875764
a8	0.0305521301534	0.0645381877407	0.0161394204124	0.0471205461364	0.130933195321	0.533598427531	0.177118062547
a31	0.0342570457178	0.101997639247	0.0207956561375	0.145376218712	0.149620065107	0.396247165844	0.151706219849
a13	0.0216242325726	0.0980342750823	0.0200016953792	0.233785646237	0.173783611702	0.350807435281	0.101963132283
a20	0.0209721721909	0.141252983694	0.0286674994597	0.259892232079	0.168422027234	0.272268895094	0.108524207428
a3	0.022316256397	0.178166301231	0.0452947448199	0.247891254026	0.152809979078	0.225749591698	0.127771865809
a31	0.0154169940657	0.175553757077	0.0475987022733	0.200927851342	0.203914159693	0.237190463899	0.119398056603
a29	0.0169435082886	0.140597074026	0.0285692924244	0.350336417114	0.203489716564	0.186381849633	0.0736821568677
a31	0.0182505195962	0.138743156342	0.0236614384748	0.478731025705	0.106217777521	0.117887524878	0.116508605623
a3	0.0643018183654	0.147191308781	0.0327856078249	0.398810751902	0.099538384507	0.113475019959	0.143897158541
a31	0.0815550677885	0.12013519626	0.034319370275	0.363196533967	0.108279364836	0.13725452832	0.155259952847
a24	0.0930884109295	0.12072761542	0.057099049425	0.294583537989	0.107335714945	0.156080666107	0.171085010949
a31	0.0998155259765	0.10515713514	0.064969166475	0.236390535996	0.107804320315	0.182715055369	0.203148280316
a39	0.0947025676588	0.102150845047	0.0699224721583	0.219418475332	0.107776188772	0.191987258456	0.214042186772
a31	0.0931930245529	0.100038206682	0.0709728870528	0.210568205111	0.120073201257	0.196069626152	0.209084845591
a33	0.0903396301843	0.0992770272273	0.0772661853509	0.201056075037	0.123726205419	0.198699052051	0.209635831864
a31	0.0904228800614	0.0949487547424	0.0793996584503	0.174534145012	0.122355651806	0.211867440684	0.226471453955
a23	0.0893562833538	0.0935141472475	0.0809614728168	0.164755935004	0.122046543935	0.216718616895	0.232646987985
</S>	0.120955641677	0.118109158624	0.107773956408	0.162709367502	0.130179946968	0.176175143448	0.184096783993
