 	voglio	che	Maria	venga	domani	</S>
a31	0.387029835	0.069512164	0.068126303	0.18022454	0.02724441175	0.26786282
a35	0.344630705	0.056838499	0.0528600796667	0.365529596667	0.0402508834167	0.139890281
a31	0.163608906667	0.117150656333	0.0403555668889	0.544023698889	0.0552361888056	0.0796250033333
a37	0.108332003889	0.158505855444	0.0562416192963	0.56216879963	0.0588462539352	0.0559054811111
a31	0.231841711296	0.146455005148	0.130309563099	0.406147279877	0.0475076726451	0.037738763037
a11	0.467196783765	0.129869881716	0.125993924033	0.185820438626	0.0224872475484	0.0686317490123
a31	0.456060754588	0.117726293905	0.162540104344	0.152733078209	0.0238231231828	0.0871167176708
a20	0.343780138196	0.146568117968	0.206220736448	0.163360379403	0.0285415620609	0.11152914389
a13	0.287430366065	0.185206619323	0.176711463816	0.135838523134	0.036456101687	0.17835696463
a20	0.181984465355	0.186300159774	0.212676887939	0.123255741045	0.071693889229	0.224088871543
a31	0.104140371785	0.210810906591	0.24696927598	0.147924297015	0.105582309743	0.184572873848
a18	0.119477237262	0.28808395553	0.21715848866	0.149056314005	0.116647866581	0.109576157949
a31	0.125449105087	0.28367917851	0.261137329553	0.115724286335	0.126000192194	0.0880098826497
a36	0.110315557696	0.25518861617	0.335497703184	0.108233927112	0.118822970731	0.0719411742166
a31	0.100906181899	0.231002242057	0.381592527728	0.116424880704	0.11421501691	0.0558591097389
a20	0.0996745132997	0.197853994019	0.350495342576	0.139670440235	0.135250415637	0.0770552815796
a31	0.106809248767	0.178755858006	0.334889197525	0.145593273412	0.140908388546	0.0930440288599
a20	0.107060117256	0.164174196002	0.329592942508	0.151833721137	0.143705876182	0.103633171287
a31	0.115873795752	0.163000458667	0.301761030836	0.153795773712	0.148452152061	0.117116853762
</S>	0.095081527876	0.150054354334	0.351170675418	0.150669961856	0.14467871603	0.108344841881
