 	ho	rotto	una	bottiglia	</S>
a31	0.150977175	0.0148539745	0.0892756275	0.23366237	0.51123081
a21	0.201059951667	0.0686383905	0.1184812975	0.153533554	0.45828677
a31	0.296452253889	0.249597196833	0.1214889457	0.0681939215	0.2642676589
a35	0.42365023463	0.279815315611	0.110685098433	0.0331524306667	0.152696921867
a31	0.611401734877	0.130032236537	0.120483929478	0.0206188094889	0.117463304289
a24	0.764042298292	0.0950278268457	0.0665357731593	0.020803365763	0.0535907384297
a37	0.732347106097	0.0886589109486	0.0590201310531	0.0541343625877	0.0658394641432
a31	0.506117388699	0.0728253403162	0.072988380351	0.157711707529	0.190357149381
a33	0.265987826233	0.103167024772	0.104153010117	0.228393749176	0.298298379794
a31	0.220704772078	0.221142824924	0.135305330039	0.182263519725	0.240583549931
</S>	0.221915486039	0.314421922462	0.14169466502	0.144566674862	0.177401239966
