 	guardando	le	nuvole	capisco	che	piove	</S>
a31	0.148020975	0.111590124	0.26889649	0.02669677115	0.052284054	0.0908907885	0.301620764
a13	0.137422880333	0.228760324667	0.30019078	0.01377090895	0.043164662	0.148040615167	0.128649815333
a24	0.0737497087777	0.275602998222	0.303651943333	0.01946071045	0.0453955756667	0.196348116722	0.085790978111
a41	0.0680627182592	0.232802906074	0.432892237778	0.02855083815	0.0424478515556	0.115334720574	0.079908761037
a31	0.0766599064197	0.252753142025	0.417691849259	0.0470228337167	0.0270037118519	0.124732490191	0.0541360958457
a41	0.171044593807	0.253754144008	0.32288823642	0.0515532089056	0.022570750284	0.127390770064	0.0507983141152
a46	0.233284394602	0.259148018003	0.347797628807	0.0356172406352	0.0155341700947	0.0575491543547	0.0510693633717
a31	0.177323491534	0.265628546001	0.370168146269	0.0739074685451	0.0197798460316	0.0634335524516	0.0297589211239
a20	0.207747440511	0.229594658667	0.30505827209	0.090947364515	0.0275965166772	0.0755100048172	0.063545751708
a15	0.259608346837	0.230411876222	0.317182277363	0.050689230505	0.0215797678924	0.0457373506057	0.0747911679027
a31	0.210723352279	0.205906375407	0.360131575788	0.052300750835	0.0208219939641	0.0459432252019	0.104172723301
a20	0.218941554093	0.176107108469	0.293698585263	0.078010794945	0.0379413433214	0.0636862250673	0.131614374434
a31	0.196376342698	0.138875460823	0.187077795088	0.076074240315	0.0409372041071	0.0618795816891	0.298779368145
a23	0.180181572233	0.126620681608	0.149271785029	0.078566504105	0.0539783570357	0.0610286992297	0.350352406048
a31	0.195523947411	0.138387383869	0.13790709501	0.0773401137017	0.0667422116786	0.0660653517432	0.318033908683
a27	0.197887545804	0.146106484623	0.13806879167	0.0763161835672	0.0732948598929	0.0644319622477	0.303894176228
a35	0.247154408601	0.172375914874	0.14909886389	0.0936132825224	0.109486529964	0.0694376257492	0.158833383743
a31	0.258415252867	0.174899924958	0.133104727963	0.0766972565075	0.100550817988	0.0772410252497	0.179090979581
a39	0.297233860956	0.200563318319	0.136622849321	0.0572212498358	0.078394963996	0.0683342607499	0.161629472194
a41	0.325342233652	0.207467312773	0.13718167644	0.0686190066119	0.101026737999	0.0635084559166	0.0968545910647
a24	0.286210571217	0.181048900924	0.127053062147	0.0923990688706	0.120689186	0.0958374253055	0.0967617733549
a41	0.222473230406	0.149707643641	0.115728400716	0.120845632957	0.129274325333	0.154796201769	0.107174562785
a3	0.176209026802	0.124428771214	0.100617410239	0.144652147652	0.138169868444	0.206823377256	0.109099424262
a31	0.169918272267	0.135657657071	0.099840948413	0.130325405884	0.124282334481	0.227582302419	0.112393089754
a0	0.214859447422	0.156836462357	0.105591769804	0.105392237295	0.118341379827	0.19288171614	0.106096968251
a20	0.215385099141	0.147587484119	0.109508291935	0.119774674432	0.134885049942	0.17061614738	0.102243196084
a31	0.173372659714	0.131795926373	0.108304953978	0.119044431477	0.124286433314	0.172831709127	0.170363828695
a20	0.184263553238	0.136802597124	0.112611357993	0.108513647159	0.118309577771	0.146599663042	0.192899567898
a31	0.170410539413	0.120163585708	0.095665879331	0.0955069823863	0.11362391459	0.173280837681	0.231348254299
a37	0.161184038138	0.115236958569	0.0926241231103	0.0925561941288	0.10880595353	0.183621875894	0.245970844766
a46	0.178237646046	0.14158361619	0.12449570437	0.11697833471	0.124373257843	0.146986285298	0.167345148255
a31	0.142033128682	0.116969302063	0.10439764479	0.104195963237	0.113172169281	0.172287165099	0.246944636085
</S>	0.114125709341	0.0892408760315	0.075832762395	0.0814148391185	0.0949006646405	0.20239783255	0.342087328042
