 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
a8	0.0435769855	0.1430458305	0.0607606155	0.02419852147	0.26897473	0.042799866	0.01355030525	0.0124480563	0.240785388	0.149859669
a31	0.0401783076333	0.135698709093	0.045994374329	0.00836810550493	0.47881512	0.0556687406667	0.0203920405833	0.0150505249667	0.138087664667	0.06174635699
a7	0.0231002826778	0.118459778624	0.035492164272	0.00745481720324	0.445159136667	0.0903415435556	0.0892131301944	0.0406558883222	0.123907116889	0.0262160946533
a24	0.0205940925593	0.121376040208	0.0433128120907	0.0108041004011	0.272208318889	0.143065764519	0.192162223398	0.0678748461074	0.097671738963	0.0309300325511
a38	0.0223852608531	0.063804146736	0.0289665633636	0.00768143536703	0.309050126296	0.14675024984	0.205341147799	0.0619758920358	0.0823553409877	0.071689817517
a31	0.0322345302844	0.0799251782453	0.0132710039545	0.00304615794901	0.277943585432	0.0951865369467	0.122673863266	0.0349258810119	0.221188226996	0.119605052506
a10	0.108428010761	0.154781889415	0.00545563048483	0.001407255643	0.173824471811	0.110545760982	0.0716109617553	0.0202926566706	0.255172189999	0.0984812048353
a11	0.170243903587	0.206855506472	0.00389258182828	0.00111459111433	0.210327913937	0.138483986994	0.0601278489184	0.0135414098902	0.110101576666	0.0853106956118
a31	0.176292244529	0.210539385491	0.00446961204276	0.00164726943811	0.210533041312	0.110568852331	0.0860308346395	0.0116359492967	0.107512334555	0.0807705028706
a20	0.183634174843	0.233960375164	0.00467035244759	0.00221732424604	0.193886073771	0.11730470411	0.0890764585465	0.0120285310989	0.106635058185	0.0565870019569
a10	0.161020358281	0.300125138388	0.00413812888253	0.00192218231535	0.246072871257	0.123095729703	0.0498424565155	0.0100580393663	0.0567981998283	0.046926965319
a31	0.11211642776	0.271774029463	0.00509596902751	0.00262055913845	0.218110230419	0.127330918234	0.0556477321718	0.0144259251221	0.135880670376	0.0569975831063
a21	0.16417519092	0.201049403154	0.00679683520917	0.00388368571282	0.158537486806	0.152023356078	0.0653696263906	0.0176868680407	0.168308814792	0.0621687303688
a31	0.175002227973	0.155267053718	0.00878579660306	0.00552216190427	0.139907822269	0.138830683359	0.0516704711302	0.0229917990136	0.186019082931	0.116002906123
a20	0.185795240324	0.120309017239	0.00887432886769	0.00603615996809	0.11357549409	0.152473325786	0.0589456670434	0.0266096936712	0.19407661431	0.133304483708
a13	0.254941013441	0.132889042413	0.0120714729559	0.0086430713227	0.124061441363	0.206936915262	0.0848832190145	0.0253083132237	0.0866606341033	0.0636048929027
a31	0.188614815814	0.120913710804	0.0229228373186	0.0163153354409	0.158523923788	0.162095327754	0.0677066836715	0.0359137557412	0.123997060701	0.102996570968
a41	0.224829396605	0.121001946935	0.0246867024395	0.018628018147	0.136455907929	0.119652378585	0.0609154518905	0.0405558632471	0.1383336769	0.114940678989
a35	0.337336625535	0.120061488978	0.0341892174798	0.0273025903823	0.0991726159763	0.111969106195	0.0957546639635	0.0388349114157	0.0728365933	0.0625422009963
a31	0.313744868512	0.0933728329927	0.0400534201599	0.0320230527941	0.0784752553254	0.074144162065	0.0837467836545	0.0641790714719	0.1131312021	0.107129386332
a24	0.247409079504	0.0937079109976	0.04555801472	0.0412088249314	0.0768897867751	0.071177187355	0.0670639402182	0.0834484891573	0.139328284033	0.134208510777
a37	0.217686519835	0.105375516999	0.06912673624	0.0652738516438	0.0907110205917	0.088679485785	0.0881526900727	0.0788527530524	0.0993022613443	0.0968391955923
a27	0.219838659945	0.097406022333	0.0785596637467	0.0726716505479	0.0893032721972	0.0876252719283	0.119278990024	0.0776353143508	0.0790785977814	0.0786026085308
a20	0.236165406648	0.087622074111	0.0784227595822	0.069996873516	0.0839898893991	0.0848004239761	0.153794590008	0.0794367414503	0.0622267989271	0.0635444678436
a31	0.179243048883	0.0758912247037	0.0678529425274	0.059972861172	0.073275795133	0.0696200346587	0.121235219003	0.0780168738168	0.157491918642	0.117400104281
a37	0.156332019628	0.0806058182346	0.0594326315091	0.055211473724	0.0707062370443	0.0684698815529	0.0897305653343	0.0750561959389	0.200459481214	0.143995731427
a31	0.170421486543	0.0716982460782	0.0467981088364	0.044981716908	0.0583846340148	0.0616529271843	0.0887593374448	0.120262696646	0.178702228738	0.158338647142
</S>	0.149910123271	0.0494087280391	0.0315030649182	0.030584426954	0.0379995795074	0.0400504285922	0.0748682472224	0.164750358323	0.215549824369	0.205375243571
