 	siete	cucinato	</S>
a20	0.55707579	0.2609456175	0.181978619
a31	0.265213287433	0.567546259167	0.167240486086
a18	0.330794626578	0.609120119722	0.0600852651143
a21	0.603903032193	0.369065979907	0.0270309900381
a37	0.633652420731	0.279156199969	0.0871913816794
a21	0.629606160244	0.199579673323	0.17081415056
a31	0.494669300081	0.355198731108	0.150131960187
a18	0.36604211336	0.503065910369	0.130892010062
a31	0.298995802453	0.527276603456	0.173727653354
</S>	0.180625598227	0.618200901728	0.201173556677
