 	nella	pasta	metti	sale	vuole	il	sale	</S>
a28	0.09055781	0.0368648905	0.03390567325	0.046659749	0.1008548585	0.15155476	0.21651646	0.323085815
a31	0.0797356276667	0.0348340248333	0.0319629719167	0.02778809	0.210935025167	0.2078602	0.227538326667	0.179345741661
a7	0.0342446055556	0.0287973046111	0.0293589546389	0.0171315176667	0.378146141722	0.220988266667	0.231146388889	0.0601868165817
a46	0.108626160519	0.0958592308704	0.070529900213	0.0523828378889	0.310360023907	0.155597135556	0.18237479063	0.0242699282272
a10	0.19996053684	0.165139336957	0.134869633404	0.127107125963	0.200810274636	0.0780793501853	0.0781202435433	0.0159135450757
a14	0.193952265613	0.178263412319	0.139459891135	0.185485628654	0.184695181545	0.0556124560618	0.0466926168478	0.0158385880252
a31	0.210437415204	0.247920164106	0.166364270378	0.150735226218	0.143959084515	0.0388772143539	0.0294708799493	0.0122357802084
a0	0.239533851735	0.255159854702	0.178245546793	0.097384045406	0.089256405505	0.031524498118	0.0352713143164	0.0736244802695
a20	0.249962163912	0.184325888234	0.135938750264	0.0784236501353	0.059428933835	0.0415442623727	0.0666314614388	0.18374486009
a31	0.208813797971	0.138769582745	0.178979401421	0.0666244683784	0.0551216832783	0.0443553484576	0.0815175921463	0.225818133363
a10	0.220675219324	0.139071754248	0.24949942714	0.0807370994595	0.0661717444261	0.0342065458192	0.0579140528488	0.151724164588
a0	0.252011116441	0.197692061416	0.230061855713	0.0974223284865	0.077859398142	0.0401577216064	0.0367299364163	0.068065588996
a18	0.204635122147	0.210653843805	0.191843911904	0.120491814829	0.106947206047	0.0666121738688	0.0449686571388	0.053847300332
a17	0.181130074049	0.177024684602	0.183049267301	0.14696190161	0.135151622016	0.0799550079563	0.0490899457129	0.047637502444
a8	0.170640684683	0.134362024867	0.195190655767	0.175329970537	0.157974424005	0.0765302359854	0.0469111579043	0.0430608264813
</S>	0.166330742341	0.111573337434	0.206170352883	0.191115755268	0.168303697003	0.0706048329927	0.0446623379521	0.0412389332407
