 	sto	e	cucino	</S>
a31	0.378166985	0.103355478	0.19106455	0.32741296
a20	0.371503615	0.263757449333	0.118139338333	0.246599586667
a31	0.261682401667	0.530685529778	0.0630732299443	0.144558850356
a37	0.169027412556	0.753238329926	0.0256130224814	0.052121245352
a18	0.246750579519	0.670252536642	0.0386199498271	0.044376948884
a31	0.28533927884	0.424015712214	0.195281761942	0.0953632762947
a20	0.241874821947	0.311395927405	0.291306250647	0.155423005432
a31	0.218270754982	0.242898939135	0.348512943549	0.190317348477
a28	0.158942732661	0.233611179712	0.400736564516	0.206709509492
a33	0.21404816422	0.243230586571	0.320377208172	0.222344023164
a31	0.21252007474	0.24399600219	0.335363932724	0.208119967721
</S>	0.19005718737	0.240380271095	0.385777731362	0.183784793861
