 	credo	che	stanno	ancora	svegli	</S>
a31	0.199453995	0.0447623835	0.310955068	0.0492363455	0.08418486	0.31140739
a20	0.148714275	0.0264180035	0.331997236	0.130393405167	0.214491053333	0.147986059333
a21	0.106948401667	0.0600878578333	0.271680415333	0.194938855056	0.281469544444	0.0848749257777
a31	0.124145815556	0.130246199278	0.357161045111	0.161587691685	0.167652893481	0.0592063432592
a37	0.277835013519	0.117482128426	0.338505621704	0.093732147895	0.0972681404937	0.0751769390864
a31	0.361733584506	0.0866595314753	0.318633397235	0.0710834146317	0.0741703974979	0.0877196553621
a13	0.335466611502	0.0864790671584	0.306722845745	0.0645849248772	0.068950554166	0.137795984121
a31	0.325074420501	0.0837917157195	0.322675295248	0.0518721802924	0.0593107863887	0.157275621374
a20	0.260763126834	0.103301308573	0.413546298416	0.0542257644308	0.0561860074629	0.111977510458
a31	0.208729342278	0.147154592858	0.450637476139	0.0498561238103	0.042139676821	0.101482800153
a39	0.174711810759	0.164206437619	0.470364762046	0.0592222779368	0.047049784607	0.0844449183843
a18	0.181239663586	0.120774525873	0.354009830682	0.0744652566456	0.093121494869	0.176389214461
a33	0.161700977862	0.0882838036243	0.193992593561	0.0871486942152	0.141624131623	0.32724980482
a39	0.171836435954	0.0962253862081	0.138511381187	0.0832263947384	0.147226350541	0.362974061607
a31	0.166261461985	0.125314715403	0.237499730396	0.0921422249128	0.109051806847	0.269730057202
a39	0.152999277328	0.133357235134	0.279723246799	0.116112054971	0.121548022282	0.196260155734
a33	0.172651769109	0.144382238378	0.198687782266	0.127144531657	0.161253090761	0.195880595245
a8	0.18494428637	0.176348202793	0.167498580755	0.125492480552	0.15585812692	0.189858321748
a31	0.14893210879	0.167641440931	0.283525663585	0.135438576851	0.120634231307	0.143827951916
a7	0.12202565293	0.144119983644	0.325397131195	0.14970238895	0.125685502769	0.133069338639
a31	0.12862874931	0.199683251215	0.272374773732	0.14905642965	0.124104173256	0.12615265288
a3	0.13508114477	0.224037300405	0.257777111244	0.153066643217	0.114842313419	0.11519550096
a31	0.161527544923	0.220618110135	0.209411773748	0.152891774406	0.12663588114	0.12891493032
a13	0.170799288308	0.221050726712	0.196435997916	0.153006331469	0.127754187047	0.13095346344
a20	0.168244299436	0.183003402237	0.185375359305	0.160912547156	0.151057335682	0.151407057813
a7	0.165288629812	0.169729187412	0.188344839768	0.163733139052	0.156826865227	0.156077379271
a35	0.170120739937	0.176387162471	0.187892189923	0.157914409684	0.154566095076	0.15311943309
a31	0.153604493312	0.241913170824	0.211440576641	0.142675573228	0.125768351692	0.12459784303
a20	0.144572847771	0.252682896941	0.218267485547	0.143274647743	0.121070993897	0.120131149677
a31	0.161700669257	0.212544825647	0.204057671849	0.154292585914	0.133126781299	0.134277499892
</S>	0.165401104628	0.217578192823	0.212321910925	0.155808492957	0.12260921565	0.126281109946
