 	è	che	sono	usciti	</S>
è	0.16823934	0.213788405	0.223867155	0.17642511	0.21767998
n	0.182431343333	0.200522021667	0.206631308333	0.202262953333	0.208152336667
a	0.138182455111	0.173153063889	0.155537764778	0.304318427778	0.228808272222
g	0.087939319037	0.258300037963	0.141744183593	0.290251824259	0.221764637407
u	0.0579915873457	0.246806111654	0.123881513531	0.250375003086	0.320945819136
ì	0.0252607806152	0.108706926218	0.0755277335103	0.236815057695	0.553689539712
k	0.0167996113717	0.0749829700727	0.126109337837	0.136480472565	0.645627613237
a	0.0112944745466	0.0478033940242	0.256184282612	0.162964244188	0.521753597746
n	0.00411201247153	0.0258312583414	0.246253837537	0.261796411396	0.462006459249
e	0.00172547307218	0.0209468777805	0.213808582512	0.274723110465	0.48879593975
</S>	0.00090155860859	0.0238872748902	0.273548181256	0.240831835232	0.460831149875
