 	dei	genitori	</S>
à	0.319669275	0.324142275	0.356188435
t	0.305433341667	0.307728795	0.386837858333
t	0.296204407222	0.301513798333	0.402281799444
u	0.272561812407	0.333017162778	0.394421046481
s	0.213278817469	0.268546497593	0.518174728827
g	0.174581775823	0.185798069198	0.639620199609
e	0.136219688608	0.359408119733	0.50437220987
n	0.114836032869	0.429111986578	0.456051989957
i	0.087825018623	0.409838628859	0.502336376652
t	0.0509046122077	0.423511932953	0.525583492217
ò	0.0382592184026	0.418456934318	0.543283874072
r	0.0486578321342	0.479860761439	0.471481421357
u	0.0583506823781	0.455381387146	0.486267947119
</S>	0.051005223689	0.432787518573	0.51620727356
