 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.1119204725	0.113280987	0.16522362	0.18677311	0.11471372	0.118094105	0.18999394
n	0.131733604167	0.132199365667	0.150485133333	0.158601226667	0.133267193333	0.133849108333	0.159864363333
a	0.132347816056	0.132546611889	0.140393694444	0.149634835556	0.139657354444	0.136390799444	0.169028894444
a	0.104041236685	0.104586935296	0.114443846815	0.129858341852	0.187509841481	0.112035071148	0.247524708148
f	0.0723585355617	0.0740634857653	0.110843157605	0.143285543951	0.25515893716	0.0839722083827	0.260318136049
o	0.0615923185206	0.0635427392551	0.116407861202	0.15344631465	0.286506269053	0.0794148281276	0.239089712016
r	0.0509574008402	0.061298753085	0.118205055734	0.13822787155	0.279950796351	0.0932227393759	0.258137420672
à	0.0539632032801	0.066739079695	0.119952210245	0.150331360517	0.213339628784	0.0991844444586	0.296490103557
s	0.0763605674267	0.084142466565	0.112533561748	0.144553296839	0.161156352928	0.10003728482	0.321216491186
o	0.0634846734756	0.0706438225217	0.120213707249	0.156903088946	0.142964259309	0.105832171607	0.339958257062
t	0.0415525474919	0.0474295028406	0.110004872416	0.152029987982	0.171992691436	0.091966533869	0.385023852354
o	0.0344844268306	0.0377665346135	0.0900017158053	0.111954985994	0.169675943812	0.117911454623	0.438204967451
t	0.0221046532769	0.0220219602045	0.0927889702684	0.164713350331	0.161625307937	0.128954794874	0.40779098915
s	0.0173206900923	0.0221920084015	0.136261270089	0.244609673444	0.182348185979	0.107996982958	0.289271189717
o	0.0128801766974	0.0177977455672	0.117464135363	0.177006681148	0.11906744066	0.159197192319	0.396586623239
m	0.0078792445658	0.00766052258907	0.0456414747877	0.067553103716	0.0817685688867	0.302272630773	0.48722446108
ì	0.00449438165527	0.00396745532969	0.0224105729292	0.033379255572	0.0686663012956	0.411455406924	0.455626627027
p	0.00316442575176	0.00344010574323	0.0354976413097	0.0980091461907	0.0522539380985	0.354497415641	0.453137305676
à	0.00235991835059	0.00413022871441	0.0465058147699	0.144602215397	0.0592886170328	0.292544418547	0.450568778559
s	0.00508317548353	0.00724986923814	0.03778009359	0.121989798466	0.100770907344	0.297233669516	0.42989247952
s	0.00575412759451	0.00694952171271	0.0253027308633	0.0855697515887	0.102660540781	0.290112999839	0.483650296507
i	0.00235638615817	0.00266766932757	0.00921699230443	0.0303819600629	0.045677637027	0.38420011328	0.525499222169
n	0.000938934652723	0.00109460746586	0.00352008833814	0.010837452821	0.017835181709	0.539281351093	0.426492380723
i	0.000536151510908	0.000645106415287	0.00204382776605	0.005111251407	0.00904575403633	0.634942503698	0.347675376908
m	0.000860432756969	0.00363242749843	0.00699729468868	0.0108514259023	0.0187982238788	0.589609187899	0.369250958969
è	0.00109893703566	0.00462613837281	0.00851014569623	0.0124602019674	0.0359242112929	0.4779775893	0.45940275299
r	0.000650896488553	0.00167733229427	0.00339557656541	0.00503950782247	0.031375143931	0.463156039767	0.494705500997
a	0.000314983512851	0.000611566851423	0.00128262758347	0.00193826629082	0.0174847281437	0.555752596589	0.422615246999
</S>	0.000249965191426	0.000336321610712	0.000684964084235	0.00105117242041	0.0137804640719	0.636654898294	0.3472422435
