 	sto	ancora	cucinando	</S>
s	0.24975792	0.250463955	0.249937775	0.24984034
t	0.24953298	0.251144241667	0.249649128333	0.249673616667
e	0.224822373333	0.285887453889	0.225457506111	0.263832652222
a	0.194773674444	0.349586111296	0.204985102037	0.250655087407
n	0.194137858148	0.333835763765	0.210159467346	0.261866882469
k	0.209077782716	0.280038411255	0.217710645782	0.29317314749
ò	0.167308392572	0.236982910418	0.171600678594	0.42410799583
r	0.112459722524	0.167907896806	0.139261492865	0.580370875277
a	0.0819265828413	0.105751846269	0.116096102288	0.696225455092
m	0.0641143262804	0.14692468609	0.188387202096	0.600573785031
a	0.0516064119268	0.148509289697	0.219283204032	0.580601128344
r	0.0312704038089	0.0914972042323	0.193442104677	0.683790316115
è	0.0247218212696	0.0691410317441	0.175457788892	0.730679358705
o	0.0113328844565	0.0262576795814	0.153601726964	0.808807709568
n	0.0133965081855	0.0319937901938	0.352592405655	0.602017286523
t	0.0216181113952	0.0420820503979	0.495268055218	0.441031745508
a	0.0160045963651	0.024844834466	0.571240285073	0.387910265169
</S>	0.00918143803255	0.013736605733	0.648975342536	0.328106622585
