 	vengono	vestiti	</S>
è	0.33088342	0.329140395	0.33997619
r	0.323225923333	0.322294158333	0.35447991
k	0.318295841111	0.320687599444	0.361016553333
u	0.32930753037	0.307760963148	0.362931494444
t	0.25136725679	0.256111067716	0.492521651481
t	0.220745145597	0.251781809239	0.527473030494
e	0.224803498532	0.324006136413	0.451190340165
n	0.141864376177	0.280141290471	0.577994296722
d	0.103635780059	0.162020951824	0.734343265574
i	0.0697899020197	0.217596220608	0.712613898525
m	0.0286986172066	0.293770820203	0.677530576175
è	0.0138449589355	0.326729270068	0.659425758725
n	0.0163462589785	0.280573306689	0.703080406242
a	0.0364666416595	0.20143328223	0.762100075414
</S>	0.0505558908297	0.210890411115	0.738553717707
