 	stava	ancora	cucinando	</S>
ì	0.245189405	0.255057275	0.24756184	0.252191545
s	0.244028875	0.254710798333	0.247201026667	0.254059355
t	0.246426981667	0.251343212778	0.248885805556	0.253344021667
i	0.234810870556	0.272763314259	0.241555645185	0.250870180556
g	0.216286076852	0.27254275142	0.226525921728	0.284645240185
g	0.184861982284	0.214940233807	0.191556217243	0.408641540062
h	0.160043764095	0.176991244602	0.165700592414	0.497264380021
e	0.129466344698	0.197926338201	0.163677914138	0.50892939334
a	0.0720199268993	0.244080472734	0.144003414713	0.53989619778
n	0.0494139976331	0.255247680911	0.119061724904	0.57627659926
k	0.076434619211	0.255040833637	0.127114388301	0.541410133087
ò	0.090913519737	0.207846626212	0.1581813361	0.543058511029
r	0.0606890332457	0.124160823737	0.1434619387	0.671688223676
a	0.0328428130819	0.067589761679	0.0872192395667	0.812348194559
m	0.0194347220273	0.0685100676597	0.181268933189	0.730786254853
a	0.0129085593424	0.0683826242199	0.221957954396	0.696750824951
r	0.00898466391413	0.0846454464066	0.186779214799	0.719590644984
è	0.0253776357714	0.0897104802689	0.2097070416	0.675204834995
o	0.0331355610905	0.031726685023	0.274374973867	0.660762778332
n	0.0143804408968	0.0245505018077	0.503390167956	0.457678892777
t	0.00762535033227	0.0278942179359	0.609510455985	0.354969964259
a	0.0323732154441	0.019146553312	0.559222165328	0.389258028086
</S>	0.0573881277221	0.014428761656	0.543970852664	0.384212224043
