 	vado	vestito	</S>
i	0.310429555	0.29413057	0.395439865
p	0.296591285	0.271138356667	0.432270328333
à	0.297554891667	0.247739482222	0.454705589444
o	0.264004217222	0.355736957407	0.380258786481
n	0.173503929074	0.558949552469	0.267546515494
d	0.201800459691	0.506456140823	0.291743428498
i	0.224067056564	0.516018170274	0.259914804166
m	0.127529595521	0.605350100091	0.267120316055
è	0.071109059507	0.55137391003	0.377516998685
n	0.120771847502	0.500371443343	0.378856672895
o	0.166215669167	0.467286354448	0.366497960965
</S>	0.144251014584	0.485647177224	0.370101795482
