 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.124197028	0.12417246	0.12433761	0.124219532	0.124195005	0.125378795	0.124471235	0.129028345
m	0.122933478	0.122910078667	0.123043928333	0.122997309	0.123219535	0.128270041667	0.128421565	0.128204073333
a	0.121844582667	0.121832644889	0.121864978111	0.121955529667	0.122429781667	0.130491380556	0.132131345	0.127449752778
r	0.122197584222	0.122186952963	0.122229296704	0.122296968222	0.122623663889	0.127993290185	0.129270725	0.131201497593
ì	0.120683988074	0.120675542321	0.120726734235	0.120735518074	0.120884457963	0.122978572062	0.123516871667	0.149798302531
o	0.119114009358	0.119100976107	0.119173504745	0.119135231358	0.119305904321	0.122736852687	0.122932877222	0.15850064751
e	0.116766186453	0.116876797369	0.116093858248	0.116146993786	0.11695834844	0.132865650896	0.137173865741	0.14711829917
t	0.107540492151	0.107702162456	0.106577929416	0.106774814595	0.10816175148	0.134013403632	0.14064417858	0.18858526639
è	0.0974829940503	0.097417114152	0.098000586472	0.0975814261983	0.0986208704933	0.124534177877	0.120700791193	0.265662038797
l	0.0980718146834	0.0979216380507	0.0994242721573	0.0993541100661	0.100526562164	0.120896319292	0.120781485398	0.263023789599
i	0.0979153948945	0.0976440193502	0.0999253190524	0.0995418266887	0.100310459388	0.119950883097	0.119738830466	0.264973239866
f	0.0996198399648	0.0993068397834	0.101584138017	0.100648625563	0.101122616463	0.124437784366	0.119671912155	0.253608213289
a	0.0837386776549	0.0834611765945	0.085373169339	0.0845449551877	0.0852856454877	0.108017358122	0.104805609385	0.36477339443
m	0.064330811885	0.0638774555315	0.0667670297797	0.0654147283959	0.0669002118292	0.121204712707	0.120216561795	0.431288498143
è	0.0554756846283	0.0548975025105	0.0591481512599	0.0570197707986	0.0609430039431	0.129127627569	0.128898910598	0.454489376048
n	0.0622731705428	0.0618445165035	0.0655323550866	0.0633848282662	0.0673622513144	0.10299784919	0.0983162435327	0.478288818683
o	0.0626401951809	0.0599875978345	0.0730644050289	0.0652451340887	0.0632698584381	0.100517206397	0.0891482678442	0.486127372894
a	0.0337848730603	0.0301661072782	0.0453972090096	0.0351511661296	0.030947729046	0.0947587521323	0.111657919281	0.618136284298
p	0.0247755000201	0.0237602674261	0.0264469873365	0.0228151044765	0.0257068679153	0.0821993683774	0.15366842976	0.640627481433
p	0.0233517300067	0.0240363968087	0.0234492167788	0.0236663924922	0.0344432846384	0.0698345837925	0.13726796992	0.663950403811
è	0.0150586346689	0.0158939593696	0.0177244465929	0.0194632158307	0.0290782045461	0.0713502312642	0.107174889973	0.72425640127
n	0.0082328823563	0.00913278135653	0.0105287904643	0.0123624252769	0.0172674775154	0.0522683959214	0.0870620673243	0.80314516709
a	0.00433573736543	0.00520511318884	0.00451596120477	0.00582216037563	0.00993317080513	0.0228451618071	0.273763243108	0.673579422363
o	0.00168268908848	0.00184194780628	0.00166664215159	0.00243264197521	0.00538049543504	0.0131283247357	0.490274914369	0.483592324121
m	0.00115978104949	0.00103025207543	0.000938144967197	0.00162675152507	0.00348551524501	0.0130404077119	0.380620068123	0.598099111374
a	0.00086721250083	0.000722737683143	0.000623371107732	0.00121363367502	0.002571299015	0.0123329983373	0.232763442708	0.748905323791
r	0.000317382291277	0.000270041212381	0.000283341584577	0.000899769925007	0.00269007983833	0.0165874888791	0.221460824236	0.757491074597
è	0.000669262537092	0.000713406764127	0.00221320007486	0.00673919980834	0.0155293310794	0.026921797293	0.233796398079	0.713417424866
i	0.000783477846697	0.000861522314709	0.00281053636029	0.00838450524278	0.0197225523598	0.0213861545643	0.357077236026	0.588974028289
</S>	0.000414804974849	0.000460325697355	0.00142069943314	0.00425324008139	0.0117083941799	0.0137599839822	0.477805168013	0.490177394145
