 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a	0.09973587	0.100544047	0.09982208	0.09974467	0.100077715	0.09977307	0.0998293775	0.1004007575	0.0998590025	0.1002134
t	0.0994081	0.100287917	0.09950247	0.0994573416667	0.10057369	0.09955767	0.0996531141667	0.1005600455	0.0997376028333	0.101262043333
e	0.0992023016667	0.100611302333	0.0993560733333	0.0992561818889	0.100453325	0.099366975	0.0995479897222	0.1007154365	0.0996658129444	0.101824567778
l	0.0990007988889	0.100527370778	0.0991687177778	0.0991059152963	0.1014696	0.0993091066667	0.0993750265741	0.101579412167	0.0995751159815	0.100888915926
ì	0.0976008162963	0.0983854902593	0.0976888409259	0.0983444697654	0.111958546667	0.0995978755556	0.0980481321914	0.100040187389	0.0981894803272	0.100146161975
s	0.0902972620988	0.0908264947531	0.0903564719753	0.0917601779218	0.117814228889	0.0941829835185	0.0942703507305	0.098046062463	0.112338426776	0.120107510658
i	0.0889147240329	0.091147506251	0.0891599373251	0.0900230526406	0.10993252963	0.0918656795062	0.0940770535768	0.0987786441543	0.118203885592	0.127896974886
n	0.093533728011	0.096342295417	0.093837655775	0.0949455175469	0.118362719877	0.0972826481687	0.0956102578589	0.0975223680514	0.103725351864	0.108837466295
a	0.094663179337	0.0990974204723	0.0951442185917	0.096170065849	0.120819988292	0.0986785610562	0.0958606592863	0.0976800993505	0.0987048906213	0.103180893765
z	0.095714799779	0.100685235491	0.0962575028639	0.096565915283	0.112106941097	0.0980523770187	0.0969190164288	0.10281487445	0.0985174902071	0.102365809588
ì	0.0908171899263	0.0935668818303	0.091122334288	0.0955697630943	0.138629207032	0.10251432234	0.0928460788096	0.09864415615	0.0935422734024	0.102747746529
s	0.0742032133088	0.0762242616101	0.074432088096	0.0832140916981	0.152502302344	0.0958087661133	0.0885916896032	0.09792581005	0.118173247801	0.13892452551
i	0.0713520011029	0.0840492415367	0.072788791032	0.077886366566	0.129998890781	0.0869922807044	0.0897827118677	0.102225114683	0.129537199267	0.155387433503
n	0.081214635701	0.0974876905122	0.0830238540107	0.0882848321887	0.14372175026	0.0982736969015	0.0890966192892	0.0945969882277	0.102182779756	0.122117149501
a	0.083112890567	0.107877103504	0.0859447433369	0.0902068753962	0.144801076753	0.1003049223	0.0879113914297	0.0935524594092	0.0923605365853	0.113927973167
m	0.0848029068557	0.112453317835	0.087924372779	0.0878768764654	0.122573112251	0.0928906541	0.0897167988099	0.11546164647	0.0929865288618	0.113313766389
i	0.0830348489519	0.108859882612	0.0859210479263	0.0851323008218	0.11814149075	0.0890531513667	0.0895685116033	0.123863622157	0.0927238796206	0.12370128413
n	0.077177512984	0.103050734204	0.0801298366421	0.0905652322739	0.138703463583	0.103611513789	0.0852697958678	0.103276404052	0.0861202478735	0.132095278043
ì	0.069367104328	0.0911771747347	0.0718825525474	0.098789260758	0.167254984528	0.12406375793	0.0803799602893	0.087012954684	0.0781285039578	0.131943766014
s	0.0557904824427	0.0755922939116	0.0581137015158	0.0872076969193	0.153030116843	0.11198120931	0.0844053117631	0.0928698415613	0.103333814653	0.177675575338
e	0.0495638608142	0.0985862736372	0.0575263561719	0.0699110876398	0.125911612281	0.08641706977	0.0841657472544	0.10207776052	0.112670701551	0.213169548446
l	0.0580959026047	0.116919004546	0.0678916903906	0.0740756312133	0.137404585427	0.0905648932567	0.0781011924181	0.0964621851733	0.0948182671837	0.185666656149
i	0.0586508895349	0.118689851515	0.0692054071302	0.0727686470711	0.135095658476	0.0886416867522	0.0735487291394	0.0926928080578	0.0867395657279	0.203966788716
p	0.056472403845	0.116063169838	0.0659922010434	0.080922952357	0.128726819492	0.0960405479174	0.0714778947131	0.0922832806859	0.073581058576	0.218439706239
a	0.0518737899483	0.098829555946	0.0584897670145	0.0811819587857	0.128228916497	0.0981898113058	0.072854781571	0.151357866895	0.0743921195253	0.184601465413
r	0.0386702806494	0.0828374806487	0.0457650503382	0.0634066325952	0.099514255499	0.0758061991019	0.0709141071903	0.183216182298	0.0938945348418	0.245975295138
ò	0.0296124528831	0.0632677688829	0.0353596927794	0.0654080858651	0.0830354864997	0.0752520863673	0.0810901890634	0.127948960766	0.0929444132806	0.346080875046
n	0.028799833961	0.058686152961	0.0340621489265	0.0750503286217	0.0835194668332	0.0819455821224	0.0911874663545	0.0871917002553	0.0805122127602	0.379045135015
g	0.0369573863203	0.0608842943203	0.0404423109755	0.0889914195406	0.107434728944	0.100100635374	0.0845244054515	0.0725164667518	0.0768020025867	0.331346365005
h	0.0412257907734	0.0638490134401	0.0441723483252	0.0881235731802	0.121039046315	0.105550485125	0.0768660318172	0.0737504222506	0.0896635375289	0.295759765002
ì	0.0320749945911	0.0604993998134	0.0438046204417	0.0694850077267	0.0940316647717	0.0837294170417	0.0993374439391	0.0947500307502	0.10734250251	0.314944931667
z	0.0262913025304	0.0556921696045	0.0406542278139	0.0589846792422	0.0772979442572	0.0702858470139	0.106122271313	0.113206218583	0.114194927503	0.337270413889
i	0.0244605141768	0.0507183528682	0.040514394938	0.0505814344141	0.0704968234191	0.0612499370046	0.0952097571043	0.120270191194	0.124987672501	0.361510897963
n	0.0273359033923	0.0492277649561	0.0392981089793	0.0500289628047	0.0616116798064	0.0571632056682	0.0901800990348	0.104965475398	0.0991669165003	0.421021849321
a	0.0246718987974	0.0336412979854	0.0276612933264	0.0436422949349	0.0503516446021	0.0483514032227	0.0745939963449	0.145001270133	0.0915020078334	0.460582893107
f	0.0131688234325	0.0222822643285	0.0179352754421	0.025392085645	0.0299135428674	0.0294122147409	0.0724090187816	0.193942556711	0.126075455944	0.469468777702
