 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
m	0.12329702	0.123177097	0.12357034	0.123350815	0.123593385	0.124037485	0.1247742	0.134199682
ò	0.122558373333	0.122454443667	0.12362681	0.122672733333	0.122970088333	0.123612510333	0.124383193333	0.137721860667
t	0.118717754444	0.118667441222	0.119864496667	0.120874469444	0.121682486111	0.123237015444	0.128194291111	0.148762043556
t	0.118152694815	0.118118153741	0.118545968889	0.120945714815	0.121870722037	0.123526450481	0.12986027037	0.148980011185
i	0.122049354938	0.122038332914	0.12380922963	0.123034233272	0.123370484012	0.12449892016	0.126371013457	0.134828430395
ì	0.119412448313	0.119089495971	0.121966426543	0.119689014424	0.120701301337	0.12142909472	0.123038272819	0.154673956798
r	0.115144662771	0.114640375324	0.116268085514	0.115977101475	0.118070307112	0.11808088824	0.12220487594	0.179613722266
t	0.117586970924	0.117341595108	0.117894491838	0.118723943825	0.120317610704	0.120313962747	0.124091625313	0.163729820755
e	0.119395216975	0.119315685036	0.124872413946	0.120001501275	0.120705868568	0.122482139249	0.123157171771	0.150070006918
o	0.122533205658	0.111638698345	0.124658167982	0.112447307092	0.113674370856	0.130535361416	0.11883515059	0.165677745639
G	0.121064923219	0.104894652782	0.115193722661	0.105810659031	0.108123331619	0.127493223805	0.114428720197	0.202990778546
i	0.11190392074	0.103929238927	0.111212617554	0.105048946344	0.108004107206	0.115589971268	0.115894048066	0.228417169515
o	0.101602971913	0.0793249099757	0.0895694198513	0.082350555448	0.0960664070687	0.177561843756	0.139878060689	0.233645839838
v	0.0954641653043	0.0616738889919	0.0693641986171	0.065869921816	0.0855626236896	0.224961941252	0.145190398563	0.251912843279
à	0.0807483304348	0.0618853609973	0.0654624742057	0.0711771039387	0.10777733123	0.159686333751	0.138119777854	0.315143251093
n	0.0560377401449	0.0475373393324	0.0494842420686	0.0601972046462	0.117970147077	0.092136509917	0.142863642618	0.433773163698
n	0.051525743715	0.0464406041108	0.0483017813562	0.0611420482154	0.109707507692	0.073167318639	0.145178067539	0.464536954566
i	0.0507792042383	0.0492531603703	0.0925902304521	0.0655159674051	0.094067654564	0.0882383495463	0.138645622513	0.420909841522
e	0.0511653800794	0.0394124904568	0.113724981817	0.050758377135	0.0677224658547	0.109594403182	0.112570890838	0.455051053841
A	0.0431021510265	0.0271413278189	0.0826407412723	0.0393052757117	0.0732727229516	0.114811784394	0.126507020279	0.49321900128
n	0.0222910380088	0.0162744439396	0.0479860497574	0.0428489725706	0.118308717651	0.0975636191313	0.175024063426	0.479703117093
n	0.0215334846696	0.0194027396465	0.0351114452525	0.0502712715235	0.130702175884	0.0690177067104	0.174566051142	0.499395135698
a	0.0215261998899	0.0209247182155	0.0396477154175	0.0481528381745	0.100107818628	0.0622126815701	0.154601703714	0.552826305233
g	0.02195962063	0.0144100517385	0.0319803444725	0.0368880947248	0.082895552876	0.0699941838567	0.147216897905	0.594655215078
i	0.0214809809767	0.0102957377462	0.0224849054908	0.0239472855749	0.0636138669587	0.0956761446189	0.170810852635	0.591690205026
à	0.0104803355922	0.00533593058207	0.0159399128303	0.0147344180583	0.0409702999862	0.14485783154	0.244383814212	0.523297475009
ì	0.00599788746407	0.00402466026069	0.0132771149434	0.00900631355277	0.0292145853287	0.204687600513	0.277870791404	0.455921058336
c	0.00401149042136	0.00308991232023	0.00960966828113	0.00656196391759	0.0269854587762	0.171198755838	0.257618217135	0.520924546112
h	0.00250152357379	0.00215555424008	0.00668567472704	0.0091180820392	0.0373537735921	0.0961328522793	0.303079442378	0.542973148704
e	0.0012734376446	0.00141963968669	0.00538222954568	0.00884891806307	0.032150107464	0.0648052810931	0.442812010793	0.443308416235
p	0.0005317762682	0.000635445218897	0.00214862277189	0.00315744123769	0.0130516670213	0.0378076516977	0.565265630264	0.377401778745
l	0.0003257457694	0.000418505946299	0.00142320144396	0.0020232117459	0.00831344727377	0.0783934362326	0.485174503421	0.423927966248
ò	0.0010915926698	0.00139457443877	0.00268983771465	0.0033631249153	0.0119142967579	0.108205220411	0.434076927807	0.437264455416
s	0.0013316342466	0.00180696096292	0.00452685910488	0.00376588863843	0.013061664586	0.15221614847	0.464658535936	0.358632318472
o	0.0006208937322	0.000921263770973	0.00353582201496	0.00216607379948	0.010127380862	0.156101674157	0.440023725312	0.386503172824
n	0.000827973170733	0.00140231035699	0.00365788945165	0.00135104335316	0.00983113662067	0.0803813993857	0.485699175104	0.416849110941
t	0.00144179155691	0.00191272475233	0.00477631658388	0.00380379145105	0.0140717805402	0.0625569231286	0.529667325035	0.381769380314
a	0.00113997302564	0.00123067654078	0.00284780407463	0.00416353920368	0.0151182215134	0.0530003990429	0.543770041678	0.378729350105
</S>	0.00060432907282	0.00079975380539	0.00147020420731	0.00213770468184	0.0120039517567	0.0409992965214	0.544705420839	0.397279325052
