 	guardando	le	nuvole	capisco	che	piove	</S>
k	0.142687005	0.14270431	0.14271367	0.14338761	0.1428695	0.142747615	0.142890275
a	0.139599535	0.139613736667	0.140125663333	0.151352993333	0.141467003333	0.141269011667	0.146572055
n	0.136927685	0.137103255556	0.138062137778	0.153985251111	0.141748427778	0.141928353889	0.150244898333
o	0.133938845	0.134172748519	0.135804962593	0.162011657037	0.140486682593	0.14045298463	0.153132129444
n	0.130898648333	0.131213506173	0.133005780864	0.170448049012	0.140962474198	0.138148901543	0.155322633148
ò	0.124591421444	0.124891058724	0.126906170288	0.166371523004	0.136476181399	0.137542150514	0.183221487716
n	0.119040725815	0.119866762908	0.122654210096	0.155436521001	0.133431237133	0.141498413505	0.208072132572
t	0.123160825272	0.124712950969	0.127545430032	0.141175947	0.141047942378	0.150112794502	0.192244110857
a	0.101761101757	0.101978497656	0.122156790011	0.180031279	0.134881085459	0.136130054834	0.223061183619
t	0.071384263919	0.071985306552	0.0996388366703	0.209554259667	0.127552833153	0.134663031611	0.28522144454
a	0.050810025973	0.051686957184	0.0772652322234	0.189291583222	0.141823844384	0.160401070537	0.32872125818
s	0.027213648991	0.028074151728	0.0528419567411	0.237863884407	0.220608884795	0.156461106846	0.276936337393
ì	0.018809888997	0.0188506512427	0.0474808315804	0.233416634802	0.255183654932	0.175223018949	0.251035303798
n	0.0186110113323	0.0202821617476	0.0484972365268	0.152777949601	0.177363802977	0.180737276316	0.401730567933
n	0.0149621581108	0.0183009275825	0.0368451265089	0.106475522867	0.130093482326	0.157277002105	0.536045789311
e	0.0093906577036	0.0101298794275	0.024914723303	0.056737480289	0.102301475442	0.153865677368	0.642660096437
f	0.00553589483453	0.00729790057583	0.013045774901	0.0678772110963	0.116179913147	0.132647885789	0.657415398812
a	0.00295492093484	0.00513712787861	0.007538976077	0.0695248700321	0.128500821049	0.229074368596	0.557268909604
n	0.00190355610161	0.00303699571287	0.00503305113567	0.0415085956774	0.11175741035	0.293811249532	0.542949129868
o	0.0014974871112	0.00224201952562	0.00411487209522	0.0308893157258	0.0865448297833	0.355438486511	0.519272969956
ò	0.000598349931067	0.000886203739873	0.00187361408174	0.0113232647419	0.0476415902611	0.566816528837	0.370860443319
k	0.000414280920356	0.000741138289958	0.00208468382725	0.00807816208063	0.0419615097537	0.643542409612	0.303177801106
a	0.000269788905719	0.000597891009319	0.00171190819242	0.00631984203788	0.0282500474179	0.615873489871	0.346977003702
v	0.000116702707506	0.00037603738244	0.00142413344747	0.00290961992363	0.0316163056393	0.507779549957	0.455777661234
r	0.000224548835835	0.000849337494147	0.00530198874916	0.00577417337454	0.143731923213	0.357876549986	0.486241510411
è	0.000253891438612	0.00129873383138	0.00648347014972	0.00719842369151	0.170917126071	0.445440616662	0.36840774347
c	0.000107704465704	0.00089904212246	0.00290081954657	0.00376116046384	0.0811573936903	0.558527172221	0.352646697823
h	4.2351251068e-05	0.00031395141382	0.00100538108152	0.00143459721461	0.0583077545634	0.511396624074	0.427499332608
i	1.72828536227e-05	0.00012714307894	0.000371114083173	0.000612330998203	0.0555362631878	0.553030564691	0.390305280869
</S>	9.67127721135e-06	8.627875947e-05	0.000215672171586	0.000393002799101	0.0573208240939	0.625520267346	0.316454245435
