 	qui	dentro	vuole	un	tappeto	</S>
e	0.162692995	0.16748512	0.165554755	0.175079665	0.163945965	0.165241475
t	0.161259601667	0.16605442	0.164263308333	0.174931805	0.163264511667	0.170226321667
t	0.162809323889	0.16459604	0.164093492778	0.169207541667	0.164679260556	0.174614317222
ù	0.157915511296	0.160852713333	0.159773677593	0.165975427222	0.158969116852	0.196513542407
m	0.153767123765	0.156757127778	0.155621379198	0.162626652407	0.164304442284	0.206923304136
è	0.145037464588	0.154690795926	0.150878253066	0.170172117469	0.159227597428	0.219993814712
s	0.109481959529	0.121880211975	0.123129251022	0.141490199156	0.151364092476	0.352654278237
a	0.0785181791763	0.115993970658	0.111836183674	0.148730176385	0.136196707492	0.408724759412
t	0.0625716477254	0.109600583553	0.0977250478913	0.153118850462	0.097959049164	0.479024799804
è	0.0481030679085	0.092090237851	0.0889936226304	0.158193021821	0.0845594697213	0.528060586601
l	0.0365059006362	0.078087183617	0.0832914232101	0.150885600607	0.137167579907	0.514062335534
i	0.0236943138787	0.0403948288723	0.04797835007	0.074504491869	0.183544843302	0.629883178511
è	0.0141828429596	0.0248356872908	0.0282483093567	0.065519105623	0.165936407767	0.701277659504
n	0.0101843173199	0.0166486937636	0.0178513211189	0.0624034768743	0.143266157256	0.749646033168
a	0.00683670790663	0.00942455473453	0.0095640071063	0.0324639550914	0.261956827085	0.679753917723
t	0.00289890793554	0.00458529249151	0.0118028424354	0.0345635461638	0.498422905695	0.447726469241
a	0.00152843276851	0.0029411953905	0.0130675394785	0.0356201623879	0.614446398565	0.332396246414
p	0.000736041869503	0.00143687035683	0.00640108362617	0.018206527796	0.689041912855	0.284177558805
p	0.000416454206501	0.000891651206943	0.00345045435539	0.010259068932	0.653020224285	0.331962176268
è	0.0002099382005	0.000345138678981	0.0015576296318	0.00492393497733	0.676995728095	0.315967665423
t	0.0002273833385	0.000401597848327	0.00146497064393	0.00927493165911	0.824641276032	0.163989838474
o	0.0005095352595	0.000646089036109	0.00420040514798	0.0152942182197	0.832354058677	0.146995676158
</S>	0.00069960724975	0.000674315148055	0.00668706707399	0.0156033591098	0.818338779338	0.157996868079
