 	che	non	li	aspetiamo	</S>
n	0.1990532	0.199036375	0.20208732	0.199714605	0.20010852
a	0.191352796667	0.190899025	0.22329537	0.198037355	0.196415506667
m	0.149349205556	0.148879608333	0.363197706667	0.174419925	0.164153615556
i	0.105299283519	0.105150442778	0.522787578889	0.141427643333	0.125335105185
t	0.075368696173	0.074725339926	0.585055692963	0.152338869444	0.112511438395
u	0.0558044637243	0.0504831289753	0.654299630988	0.140118764815	0.0992940627983
s	0.0437436235748	0.0372776543251	0.571051483663	0.159911669938	0.188015624266
m	0.0277488918583	0.0274668474417	0.330693684554	0.269230049979	0.344860564755
ì	0.0179370918194	0.0198166470139	0.172662844851	0.266268549993	0.523314878252
n	0.0415703784731	0.0316146522046	0.185404261617	0.219830806664	0.521579892751
o	0.0501686828244	0.0383121824015	0.179020917206	0.310681078888	0.421817140917
m	0.0192179221888	0.0174807265838	0.0743543550353	0.476898959629	0.412048050306
e	0.00646682480027	0.0062176203346	0.0255532960784	0.680338119876	0.281424146769
</S>	0.00329857663513	0.0034577662023	0.0131366656892	0.796680709938	0.183426278385
