 	venne	scritto	</S>
ì	0.26249633	0.35805461	0.37944909
r	0.287867403333	0.34852813	0.363604473333
t	0.299839911111	0.343977623333	0.356182451111
e	0.34443156037	0.294254377778	0.361314043704
g	0.279987600123	0.321635112593	0.398377281235
r	0.190597396708	0.370198574198	0.439204020412
a	0.157902842236	0.295475194733	0.546621963471
m	0.082692771912	0.409585614911	0.507721607824
m	0.0456201134707	0.477494238304	0.476885629275
è	0.0511958748236	0.321556259435	0.627247863092
n	0.0828505869412	0.214677096478	0.702472334364
o	0.0879287199804	0.171774562159	0.740296741455
</S>	0.0662919914902	0.175655431079	0.758052595727
