 	non	sono	andati	</S>
e	0.210590415	0.22096962	0.223660255	0.344779655
n	0.209591848333	0.220581056667	0.223575958333	0.346251085
è	0.223651006111	0.229580548889	0.232559072778	0.314209348333
c	0.184318798704	0.20675482963	0.221781180926	0.387145196111
h	0.178584206235	0.20597933321	0.224345600309	0.391090878704
u	0.144903468412	0.164425297737	0.19441388677	0.496257342901
n	0.0575871121373	0.0999073692457	0.239211822257	0.6032936643
e	0.0233328074458	0.0666679810819	0.489108614086	0.4208905781
p	0.0110407865486	0.0555291483606	0.542598271362	0.3908318027
a	0.00691504050953	0.0529259097869	0.478994437121	0.461164637567
m	0.00303670272984	0.0493006085956	0.410056185707	0.537606529189
è	0.00180190043661	0.0584250511985	0.389183931902	0.550589156396
n	0.00081382268887	0.0533264053995	0.596326903967	0.349532910799
a	0.00209563047962	0.0644522781332	0.623443241322	0.310008872266
</S>	0.00369121823981	0.0732071710666	0.539585155661	0.383516471133
