 	l	ha	scritta	</S>
t	0.23943933	0.239647805	0.245958305	0.27495457
o	0.215925903333	0.216485585	0.234624741667	0.332963746667
è	0.161722637778	0.172330731667	0.242769407222	0.423177178889
g	0.113927745926	0.136126901889	0.247507369074	0.50243794963
r	0.0751482919753	0.0930265252963	0.216028856358	0.615796286543
a	0.0485818349918	0.0534287864321	0.231350125453	0.666639215514
t	0.0354840306639	0.0506132548107	0.334786625151	0.579116105171
s	0.022076572888	0.0447360236036	0.344169951717	0.589017501724
e	0.0121366262293	0.0304527718679	0.359087910572	0.598322700575
</S>	0.00745263401465	0.0310344309339	0.435652505286	0.525860400288
