 	sono	vestita	</S>
ì	0.268755065	0.287245885	0.44399907
m	0.251275595	0.296880451667	0.45184398
e	0.183010651667	0.336496403889	0.48049296
n	0.120586518889	0.32924800463	0.550165486667
d	0.0855058012963	0.275633794877	0.638860412222
i	0.0569045842988	0.482982964959	0.460112466074
m	0.0218263814663	0.639376141653	0.338797507358
è	0.00862121068877	0.683265080551	0.308113769119
n	0.00642018692959	0.742168560184	0.251411309706
i	0.0285449899765	0.588212873395	0.383242163235
</S>	0.0487575074883	0.470935986697	0.480306531618
