 	la	pasta	vuole	sale	</S>
i	0.19738262	0.20097231	0.200193755	0.199697415	0.201753885
p	0.194950966667	0.200628296667	0.200168925	0.200243785	0.204008025
à	0.187345148889	0.193647895556	0.193962385	0.194417971667	0.230626615
s	0.134631918296	0.150465375185	0.194032321667	0.200456200556	0.320414195
t	0.0849769667653	0.103001461728	0.177586897222	0.277467626852	0.356967088333
a	0.0895612075884	0.126956560576	0.147559882407	0.271155948951	0.364766469444
t	0.0691794291961	0.118342660192	0.122516854136	0.23077598965	0.459185129815
è	0.0485552710654	0.101670420064	0.102188314712	0.246932529883	0.500653509938
l	0.0395929323551	0.0955184790213	0.0934533215707	0.207956373294	0.563478936646
i	0.0182338784517	0.0483473203404	0.0654994918569	0.176706437765	0.691212895549
à	0.00926178421723	0.0269366804468	0.0342708669523	0.364874119255	0.56465656185
l	0.00384754263908	0.0170153224823	0.0241960099841	0.578801173085	0.37613995395
a	0.00165727370303	0.00907133759077	0.0172306425614	0.694778001028	0.277262747983
</S>	0.000857760836515	0.00456825844038	0.0112539511307	0.790521965514	0.192798088991
